,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed,Screen Size (inch)
2460,162.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2461,46.0,1920.0,1080.0,256.0,16.0,8.0,0.0,11.6
2462,119.0,1920.0,1080.0,256.0,240.0,8.0,1.9,14.0
2463,110.0,1366.0,768.0,500.0,240.0,8.0,2.4,15.6
2464,303.0,1280.0,720.0,256.0,120.0,8.0,0.0,14.0
2465,400.0,1920.0,1280.0,512.0,512.0,16.0,0.0,13.0
2466,749.0,1920.0,1200.0,256.0,256.0,16.0,0.0,16.0
2467,163.2,1600.0,900.0,500.0,240.0,8.0,2.6,15.6
2468,240.0,1920.0,1080.0,8.0,240.0,8.0,2.4,14.0
2469,69.9,1920.0,1080.0,256.0,256.0,8.0,2.4,13.9
2470,479.5,1920.0,1080.0,256.0,256.0,8.0,4.6,15.6
2471,1900.0,1920.0,1080.0,1.0,1.0,32.0,1.8,14.0
2472,393.2,1920.0,1080.0,256.0,480.0,8.0,2.8,14.0
2473,300.2,1280.0,720.0,256.0,120.0,8.0,2.6,14.0
2474,500.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2475,899.0,1920.0,1200.0,256.0,1.0,16.0,0.0,16.0
2476,200.0,1920.0,1080.0,160.0,240.0,8.0,2.4,14.1
2477,360.0,1920.0,1080.0,256.0,512.0,16.0,1.6,13.3
2478,259.0,1920.0,1080.0,128.0,128.0,4.0,1.8,15.6
2479,179.0,1366.0,768.0,750.0,240.0,8.0,2.2,15.6
2480,231.0,1920.0,1080.0,512.0,256.0,16.0,2.4,14.0
2481,1050.0,1920.0,1080.0,256.0,256.0,16.0,2.8,15.6
2482,158.1,2880.0,1920.0,512.0,512.0,512.0,0.0,8.43
2483,200.0,1920.0,1080.0,512.0,512.0,16.0,1.6,13.3
2484,380.0,1920.0,1080.0,512.0,512.0,16.0,4.3,14.0
2485,79.94,1920.0,1080.0,16.0,16.0,16.0,2.16,11.6
2486,299.0,1366.0,768.0,500.0,240.0,8.0,2.5,14.0
2487,325.0,1366.0,768.0,256.0,256.0,8.0,4.1,15.6
2488,298.8,1280.0,720.0,256.0,240.0,8.0,2.6,14.0
