,BRAND,PRICE,GPU,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,HARD_DRIVE,SSD_CAPACITY,DISPLAY,WEBCAM(BUILT-IN),COLOR
188,other,41.5,other,unknown,NO,NO,256,240,NO,NO,other
189,other,296.8,other,unknown,NO,NO,256,240,NO,NO,other
190,other,84.2,other,unknown,NO,NO,256,240,NO,NO,other
191,dell,75.0,intel,windows,NO,NO,200,240,NO,NO,silver
192,other,166.2,other,unknown,NO,YES,256,240,NO,YES,other
193,lenovo,456.8,intel,windows,NO,NO,256,120,NO,NO,other
194,other,959.0,intel,unknown,NO,YES,256,240,NO,YES,other
195,other,27.12,other,unknown,NO,NO,256,240,NO,NO,other
196,dell,314.5,intel,windows,NO,NO,256,240,NO,NO,other
197,dell,400.2,other,windows,NO,NO,256,240,NO,NO,other
198,dell,214.8,intel,windows,NO,NO,256,240,NO,NO,black
199,lenovo,708.0,intel,windows,NO,YES,256,480,NO,NO,other
200,other,326.2,nvidia,unknown,YES,YES,256,240,NO,NO,black
201,other,329.8,intel,windows,NO,NO,256,256,NO,NO,other
202,other,110.0,other,unknown,NO,YES,256,240,NO,YES,other
203,other,304.5,intel,unknown,NO,NO,256,240,NO,NO,other
204,other,162.8,other,unknown,NO,NO,256,240,NO,NO,other
205,acer,67.06,other,unknown,NO,NO,256,240,NO,NO,other
206,other,382.0,intel,unknown,NO,NO,256,240,NO,NO,black
207,other,85.7,other,unknown,NO,NO,256,240,NO,NO,other
208,other,651.5,intel,unknown,NO,NO,256,240,NO,NO,other
209,other,104.94,other,unknown,NO,NO,256,240,NO,NO,other
210,other,1703.0,intel,unknown,NO,NO,256,240,NO,NO,other
211,other,127.75,other,unknown,NO,NO,256,240,NO,NO,black
212,other,1291.0,intel,unknown,NO,NO,256,240,NO,NO,other
213,other,731.5,intel,unknown,NO,NO,256,240,NO,NO,other
214,other,827.0,intel,unknown,NO,NO,256,240,NO,NO,other
215,other,310.8,intel,unknown,NO,NO,256,240,NO,NO,other
216,other,335.8,intel,unknown,NO,NO,256,240,NO,NO,other
217,other,203.0,other,unknown,NO,NO,256,240,NO,NO,other
218,other,101.0,other,unknown,NO,NO,256,240,NO,NO,other
219,other,62.94,other,unknown,NO,NO,256,240,NO,NO,other
220,other,116.25,other,unknown,NO,NO,256,240,NO,NO,other
221,other,20.78,other,unknown,NO,NO,256,240,NO,NO,other
222,other,104.44,other,unknown,NO,NO,256,240,NO,NO,other
223,other,667.5,intel,windows,NO,NO,256,960,NO,NO,other
224,other,332.0,intel,unknown,NO,NO,256,240,NO,NO,black
225,other,339.2,intel,unknown,NO,NO,256,240,NO,NO,other
226,other,131.2,other,unknown,NO,NO,256,240,NO,NO,other
227,other,29.86,other,unknown,NO,NO,256,240,NO,NO,other
228,lenovo,1132.0,intel,windows,NO,NO,256,2,NO,NO,black
229,other,60.78,other,unknown,NO,NO,256,240,NO,NO,other
230,lenovo,453.8,intel,windows,NO,NO,256,240,NO,NO,other
231,samsung,70.0,other,unknown,NO,YES,256,240,NO,YES,other
232,other,354.0,intel,unknown,NO,NO,256,240,NO,NO,black
233,other,571.5,intel,unknown,NO,NO,256,240,NO,NO,other
234,dell,283.2,nvidia,windows,NO,NO,256,240,NO,NO,other
235,other,318.2,intel,unknown,NO,NO,256,240,NO,NO,other
236,other,100.1,amd,unknown,NO,NO,256,240,NO,NO,other
237,other,325.8,intel,unknown,NO,NO,256,240,NO,NO,black
238,other,47.0,other,unknown,NO,NO,256,240,NO,NO,other
239,other,338.8,nvidia,unknown,NO,NO,256,240,NO,NO,other
240,other,445.8,intel,unknown,NO,NO,256,240,NO,NO,other
241,other,596.5,intel,unknown,NO,NO,256,240,NO,NO,other
242,other,117.06,other,unknown,NO,NO,256,240,NO,NO,other
243,other,342.2,other,unknown,NO,NO,256,240,NO,NO,black
244,lenovo,639.0,intel,windows,NO,NO,256,240,NO,NO,other
245,other,89.25,other,unknown,NO,NO,256,240,NO,YES,other
246,other,512.0,intel,unknown,NO,NO,256,240,NO,NO,other
247,other,335.8,other,unknown,NO,NO,256,240,NO,NO,other
248,dell,559.5,intel,windows,NO,NO,256,2,NO,NO,other
249,dell,352.5,intel,windows,NO,NO,256,240,NO,NO,other
250,other,341.8,other,unknown,NO,NO,256,240,NO,NO,other
251,lenovo,691.5,intel,windows,NO,NO,256,960,NO,NO,black
252,other,405.2,nvidia,unknown,NO,YES,256,240,NO,YES,other
253,lg,95.0,other,unknown,NO,NO,256,240,NO,NO,other
254,other,116.56,other,unknown,NO,NO,256,240,NO,NO,other
255,other,21.8,other,unknown,NO,NO,256,240,NO,NO,other
256,lenovo,626.0,intel,windows,NO,NO,256,240,NO,NO,black
257,other,481.8,intel,windows,YES,YES,256,480,NO,YES,other
258,dell,389.8,intel,windows,NO,YES,256,240,NO,YES,other
259,other,516.0,intel,unknown,NO,NO,256,240,NO,NO,other
260,other,85.06,other,unknown,NO,NO,256,240,NO,NO,other
261,other,500.5,intel,unknown,NO,NO,256,240,NO,NO,other
262,other,462.2,intel,unknown,NO,NO,256,240,NO,NO,black
263,other,28.8,other,unknown,NO,NO,256,240,NO,NO,other
264,other,491.0,intel,unknown,NO,NO,256,240,NO,NO,other
265,dell,392.0,intel,windows,NO,NO,256,480,NO,NO,other
266,other,383.5,intel,windows,NO,YES,256,120,NO,NO,black
267,dell,568.5,intel,windows,NO,YES,256,960,NO,YES,black
268,other,573.0,intel,windows,YES,YES,256,960,NO,YES,black
269,other,142.9,other,unknown,NO,YES,256,240,NO,NO,other
270,other,10.85,other,unknown,NO,NO,256,240,NO,NO,other
271,other,80.75,other,unknown,NO,NO,256,240,NO,NO,other
272,other,23.88,other,unknown,NO,NO,256,240,NO,NO,other
273,other,251.6,other,unknown,NO,NO,256,240,NO,NO,other
274,dell,451.5,nvidia,windows,NO,NO,256,960,NO,NO,other
275,other,80.5,other,unknown,NO,NO,256,240,NO,NO,other
276,other,478.5,intel,unknown,NO,NO,256,240,NO,NO,other
277,other,766.0,intel,unknown,NO,NO,256,240,NO,NO,other
278,dell,221.2,other,unknown,NO,NO,256,240,NO,NO,gray
279,other,399.0,intel,unknown,NO,NO,256,240,NO,NO,black
280,lenovo,45.1,other,unknown,NO,NO,256,240,NO,NO,other
281,auo,92.5,other,unknown,NO,NO,256,240,NO,NO,other
282,dell,1463.0,intel,windows,NO,NO,256,4,NO,NO,black
283,other,373.0,intel,unknown,YES,YES,256,240,NO,YES,other
284,dell,416.2,intel,windows,NO,NO,256,480,NO,NO,other
285,other,394.8,intel,unknown,NO,NO,256,240,NO,NO,other
286,other,382.0,other,unknown,NO,NO,256,240,NO,NO,other
287,dell,293.2,intel,windows,NO,NO,256,120,NO,NO,other
288,other,783.5,intel,unknown,NO,NO,256,240,NO,NO,black
289,other,727.0,intel,unknown,NO,NO,256,240,NO,NO,black
290,hp,699.0,nvidia,windows,NO,NO,2,2,NO,NO,silver
291,other,391.5,intel,unknown,NO,YES,256,240,NO,YES,other
292,other,411.5,intel,unknown,NO,NO,256,240,NO,NO,other
