,Touchscreen,Bluetooth,Webcam(Built-In),Microphone(Built-In),Display,WiFi
1363,NO,NO,NO,NO,NO,NO
1364,YES,YES,YES,NO,NO,YES
1365,NO,NO,NO,NO,NO,NO
1366,YES,YES,YES,NO,NO,YES
1367,YES,YES,YES,NO,NO,YES
1368,NO,NO,NO,NO,NO,NO
1369,NO,NO,NO,NO,NO,NO
1370,NO,NO,NO,NO,NO,NO
1371,NO,NO,NO,NO,NO,NO
1372,NO,NO,NO,NO,NO,NO
1373,NO,NO,NO,NO,NO,NO
1374,NO,NO,NO,NO,NO,NO
1375,YES,YES,YES,NO,NO,YES
1376,NO,NO,NO,NO,NO,NO
1377,NO,NO,NO,NO,NO,NO
1378,NO,NO,YES,NO,NO,NO
1379,NO,NO,NO,NO,NO,NO
1380,NO,NO,NO,NO,NO,NO
1381,NO,NO,NO,NO,NO,NO
1382,NO,NO,NO,NO,NO,NO
1383,NO,YES,NO,NO,NO,YES
1384,NO,NO,NO,NO,NO,NO
1385,NO,NO,NO,NO,NO,NO
1386,YES,YES,NO,NO,NO,YES
1387,YES,YES,NO,NO,NO,YES
1388,NO,NO,NO,NO,NO,NO
1389,NO,NO,NO,NO,NO,YES
1390,NO,NO,NO,NO,NO,NO
1391,NO,YES,YES,YES,YES,YES
1392,NO,NO,NO,NO,NO,NO
1393,NO,NO,YES,NO,NO,NO
1394,NO,NO,NO,NO,NO,NO
1395,NO,NO,NO,NO,NO,NO
1396,NO,NO,NO,NO,NO,NO
1397,NO,YES,YES,NO,NO,YES
1398,NO,NO,NO,NO,NO,NO
1399,NO,NO,NO,NO,NO,NO
1400,NO,NO,YES,NO,NO,NO
1401,NO,NO,NO,NO,NO,NO
1402,NO,NO,NO,NO,NO,NO
1403,NO,NO,NO,NO,NO,NO
1404,NO,NO,NO,NO,NO,NO
1405,NO,NO,NO,NO,NO,NO
1406,NO,NO,NO,NO,NO,NO
1407,NO,NO,NO,NO,NO,YES
1408,NO,NO,NO,NO,NO,NO
1409,NO,NO,NO,NO,NO,NO
1410,NO,NO,NO,NO,NO,NO
1411,NO,NO,NO,NO,NO,NO
1412,NO,NO,NO,NO,NO,NO
1413,NO,NO,NO,NO,NO,NO
1414,NO,YES,NO,NO,NO,YES
1415,NO,NO,NO,NO,NO,NO
1416,NO,NO,NO,NO,NO,NO
1417,NO,NO,NO,NO,NO,NO
1418,NO,NO,NO,NO,NO,YES
1419,YES,YES,YES,NO,NO,YES
1420,NO,NO,NO,NO,NO,NO
1421,NO,NO,NO,NO,NO,NO
1422,NO,YES,YES,NO,NO,YES
1423,NO,YES,YES,NO,NO,YES
1424,NO,NO,NO,NO,NO,NO
1425,NO,NO,NO,NO,NO,NO
1426,NO,YES,YES,NO,NO,YES
1427,NO,NO,NO,NO,NO,NO
1428,NO,NO,NO,NO,NO,NO
1429,NO,NO,NO,NO,NO,NO
1430,NO,NO,NO,NO,NO,NO
1431,NO,NO,NO,NO,NO,NO
1432,YES,YES,YES,NO,NO,YES
1433,NO,NO,NO,NO,NO,NO
1434,NO,NO,NO,NO,NO,NO
1435,NO,NO,NO,NO,NO,NO
1436,NO,NO,NO,NO,NO,NO
1437,NO,NO,NO,NO,NO,NO
1438,NO,NO,NO,NO,NO,YES
1439,NO,NO,NO,NO,NO,NO
1440,NO,YES,YES,NO,NO,YES
1441,NO,NO,NO,NO,NO,NO
1442,NO,YES,YES,YES,NO,NO
1443,YES,NO,NO,NO,NO,NO
1444,YES,YES,YES,YES,NO,YES
1445,NO,YES,YES,NO,YES,YES
1446,NO,YES,YES,NO,NO,YES
1447,NO,NO,NO,NO,NO,NO
1448,NO,NO,NO,NO,NO,NO
1449,NO,NO,NO,NO,NO,NO
1450,NO,NO,YES,NO,NO,YES
1451,NO,YES,YES,NO,NO,YES
1452,NO,NO,NO,NO,NO,YES
1453,NO,YES,YES,YES,NO,YES
1454,NO,YES,YES,NO,NO,YES
1455,NO,YES,YES,YES,NO,YES
1456,YES,YES,YES,YES,NO,NO
1457,NO,YES,YES,YES,NO,YES
1458,NO,YES,YES,YES,NO,YES
1459,NO,YES,YES,NO,NO,NO
1460,NO,NO,YES,YES,NO,YES
1461,YES,NO,NO,NO,NO,NO
1462,NO,NO,NO,NO,NO,NO
1463,NO,NO,NO,NO,NO,NO
1464,NO,NO,NO,NO,NO,NO
1465,YES,NO,NO,NO,YES,YES
1466,NO,YES,YES,YES,YES,YES
1467,NO,NO,YES,YES,NO,NO
1468,NO,NO,NO,NO,NO,YES
1469,NO,NO,NO,NO,NO,NO
1470,NO,NO,YES,NO,NO,NO
1471,NO,YES,YES,YES,NO,YES
1472,NO,NO,YES,YES,NO,YES
1473,YES,YES,YES,YES,NO,YES
1474,YES,NO,NO,NO,NO,NO
1475,YES,YES,YES,YES,NO,YES
1476,NO,NO,NO,NO,NO,NO
1477,NO,NO,YES,YES,NO,NO
1478,YES,NO,NO,YES,NO,NO
1479,NO,NO,NO,NO,NO,YES
1480,YES,YES,YES,YES,NO,YES
1481,NO,NO,NO,NO,NO,YES
1482,NO,NO,YES,YES,NO,YES
1483,NO,NO,NO,NO,NO,NO
1484,NO,NO,NO,NO,NO,NO
1485,NO,YES,YES,NO,NO,YES
1486,NO,YES,YES,YES,NO,NO
1487,NO,NO,NO,NO,NO,NO
1488,NO,NO,NO,NO,NO,NO
1489,NO,NO,NO,NO,NO,NO
1490,NO,YES,NO,NO,NO,YES
1491,NO,NO,NO,NO,NO,NO
1492,NO,NO,YES,YES,NO,NO
1493,NO,NO,NO,NO,NO,NO
1494,NO,NO,NO,NO,NO,NO
1495,NO,YES,YES,NO,NO,NO
1496,YES,YES,YES,YES,NO,NO
1497,NO,NO,NO,NO,NO,NO
1498,NO,NO,NO,NO,NO,NO
1499,NO,NO,NO,NO,NO,NO
1500,NO,YES,YES,YES,NO,YES
1501,YES,YES,NO,NO,NO,YES
1502,NO,YES,NO,NO,NO,YES
1503,YES,YES,YES,YES,NO,YES
1504,NO,NO,NO,NO,NO,NO
1505,NO,YES,YES,YES,NO,YES
1506,NO,YES,YES,YES,NO,YES
1507,NO,YES,YES,YES,NO,YES
1508,YES,YES,YES,YES,YES,YES
1509,YES,YES,NO,NO,NO,NO
1510,NO,YES,YES,YES,NO,YES
1511,NO,YES,YES,YES,NO,YES
1512,NO,YES,YES,NO,NO,NO
1513,YES,YES,YES,NO,NO,NO
1514,NO,YES,YES,YES,NO,YES
1515,NO,NO,NO,NO,NO,NO
1516,NO,NO,NO,NO,NO,YES
1517,NO,NO,NO,NO,NO,NO
1518,NO,YES,YES,YES,NO,YES
1519,YES,YES,NO,NO,NO,NO
1520,NO,NO,NO,NO,NO,NO
1521,NO,YES,YES,NO,YES,YES
1522,YES,NO,YES,YES,NO,YES
1523,NO,NO,NO,NO,NO,NO
1524,NO,NO,NO,NO,NO,NO
1525,NO,NO,NO,NO,NO,NO
1526,NO,YES,YES,NO,NO,YES
1527,NO,YES,YES,YES,NO,YES
1528,NO,YES,YES,NO,NO,YES
1529,NO,NO,NO,NO,NO,NO
1530,NO,NO,NO,NO,NO,NO
1531,NO,YES,YES,YES,NO,NO
1532,NO,NO,NO,NO,NO,NO
1533,YES,NO,NO,NO,NO,NO
1534,NO,NO,NO,NO,NO,NO
1535,YES,NO,NO,NO,NO,NO
1536,NO,YES,YES,YES,NO,YES
1537,NO,YES,YES,YES,NO,NO
1538,NO,NO,NO,NO,NO,NO
1539,NO,YES,YES,YES,NO,NO
1540,YES,YES,YES,YES,NO,YES
1541,NO,NO,NO,NO,NO,NO
1542,NO,NO,NO,NO,NO,YES
1543,NO,NO,YES,NO,NO,NO
1544,NO,NO,NO,NO,NO,YES
1545,NO,YES,YES,YES,YES,YES
1546,NO,YES,YES,YES,NO,NO
1547,NO,YES,YES,YES,NO,NO
1548,NO,YES,YES,YES,NO,YES
1549,NO,YES,YES,NO,NO,NO
1550,NO,NO,NO,NO,NO,NO
1551,NO,YES,YES,YES,NO,YES
1552,NO,NO,NO,NO,NO,NO
1553,YES,YES,NO,NO,NO,YES
1554,NO,NO,NO,NO,NO,NO
1555,NO,YES,YES,NO,NO,YES
1556,NO,NO,NO,NO,NO,NO
1557,NO,NO,NO,NO,NO,NO
1558,NO,NO,YES,YES,NO,NO
1559,YES,YES,YES,NO,NO,YES
1560,NO,YES,YES,YES,NO,YES
1561,NO,YES,YES,YES,NO,YES
1562,NO,NO,NO,NO,NO,NO
1563,YES,NO,NO,NO,NO,NO
1564,NO,NO,NO,NO,NO,NO
1565,YES,YES,YES,YES,NO,NO
1566,NO,YES,YES,YES,YES,YES
1567,NO,YES,YES,NO,NO,YES
1568,NO,YES,YES,YES,NO,YES
1569,NO,YES,NO,YES,YES,YES
1570,NO,NO,NO,NO,NO,NO
1571,NO,YES,YES,YES,YES,YES
1572,NO,NO,NO,NO,NO,NO
1573,NO,YES,YES,YES,NO,NO
1574,NO,YES,YES,YES,NO,YES
1575,YES,YES,YES,YES,NO,YES
1576,NO,YES,YES,YES,YES,YES
1577,NO,NO,NO,NO,NO,NO
1578,NO,YES,YES,YES,NO,YES
1579,NO,NO,YES,YES,NO,YES
1580,NO,YES,YES,YES,NO,YES
1581,NO,NO,NO,NO,NO,NO
1582,NO,YES,YES,YES,YES,YES
1583,NO,YES,YES,YES,NO,YES
1584,NO,NO,NO,NO,NO,YES
1585,NO,NO,NO,NO,NO,NO
1586,NO,NO,YES,YES,NO,NO
1587,NO,NO,NO,NO,NO,NO
1588,NO,YES,YES,NO,NO,YES
1589,NO,YES,YES,YES,NO,NO
1590,NO,YES,YES,YES,NO,NO
1591,NO,NO,YES,NO,NO,YES
1592,NO,NO,NO,NO,NO,NO
1593,NO,NO,NO,NO,NO,NO
1594,NO,NO,YES,YES,NO,NO
1595,NO,YES,YES,NO,NO,NO
1596,NO,NO,NO,NO,NO,NO
1597,YES,NO,NO,NO,NO,NO
1598,NO,NO,NO,NO,NO,NO
1599,NO,YES,YES,YES,NO,YES
1600,NO,NO,NO,NO,NO,NO
1601,NO,NO,NO,NO,NO,NO
1602,NO,NO,NO,NO,NO,NO
1603,YES,YES,YES,YES,NO,YES
1604,YES,YES,YES,YES,YES,YES
1605,NO,YES,YES,YES,NO,YES
1606,NO,NO,YES,YES,NO,NO
1607,NO,YES,YES,YES,NO,YES
1608,NO,NO,NO,NO,NO,YES
1609,NO,NO,NO,NO,NO,NO
1610,NO,YES,YES,YES,NO,YES
1611,NO,NO,NO,NO,NO,YES
1612,NO,NO,NO,NO,NO,NO
1613,NO,NO,NO,NO,NO,NO
1614,NO,NO,NO,YES,NO,NO
1615,NO,NO,NO,NO,NO,NO
1616,NO,YES,YES,YES,NO,NO
1617,NO,NO,NO,NO,NO,NO
1618,YES,NO,NO,NO,NO,NO
1619,NO,NO,NO,NO,NO,NO
1620,YES,YES,YES,YES,NO,YES
1621,NO,YES,YES,YES,NO,YES
1622,NO,NO,NO,NO,NO,NO
1623,NO,NO,YES,NO,NO,YES
1624,YES,YES,YES,YES,YES,YES
1625,NO,NO,NO,NO,YES,YES
1626,NO,YES,YES,YES,NO,YES
1627,NO,NO,NO,NO,NO,NO
1628,NO,NO,NO,NO,NO,YES
1629,NO,NO,NO,NO,NO,NO
1630,NO,YES,YES,NO,NO,YES
1631,NO,YES,NO,NO,NO,YES
1632,NO,YES,YES,YES,NO,YES
1633,NO,NO,NO,NO,NO,NO
1634,NO,YES,YES,YES,NO,YES
1635,NO,YES,YES,YES,NO,YES
1636,NO,NO,NO,NO,NO,NO
1637,NO,NO,NO,NO,NO,NO
1638,NO,NO,NO,NO,NO,NO
1639,NO,YES,YES,YES,NO,YES
1640,NO,YES,YES,YES,YES,YES
1641,NO,YES,YES,YES,YES,YES
1642,NO,YES,YES,YES,YES,YES
1643,NO,YES,YES,NO,NO,YES
1644,NO,YES,YES,YES,NO,YES
1645,NO,YES,YES,NO,NO,YES
1646,NO,YES,YES,YES,NO,NO
1647,NO,NO,YES,YES,NO,YES
1648,NO,YES,YES,YES,YES,YES
1649,NO,NO,YES,NO,NO,NO
1650,YES,YES,YES,YES,NO,YES
1651,NO,YES,YES,YES,YES,YES
1652,NO,YES,YES,YES,NO,NO
1653,NO,NO,NO,NO,NO,YES
1654,NO,NO,NO,NO,NO,NO
1655,YES,YES,YES,YES,NO,YES
1656,NO,NO,NO,NO,NO,NO
1657,NO,YES,YES,YES,NO,YES
1658,NO,YES,YES,YES,NO,NO
1659,NO,YES,YES,YES,NO,YES
1660,NO,YES,YES,YES,YES,YES
1661,NO,YES,YES,YES,NO,YES
1662,NO,NO,NO,NO,NO,NO
1663,NO,NO,NO,NO,NO,NO
1664,NO,NO,NO,NO,NO,NO
1665,NO,NO,NO,NO,NO,NO
1666,YES,YES,YES,YES,YES,YES
1667,NO,NO,NO,NO,NO,NO
1668,NO,NO,YES,YES,NO,NO
1669,NO,NO,NO,NO,NO,NO
1670,YES,YES,NO,NO,NO,NO
1671,NO,NO,NO,NO,NO,NO
1672,NO,YES,YES,YES,NO,YES
1673,YES,YES,YES,NO,NO,NO
1674,NO,NO,NO,NO,NO,NO
1675,NO,NO,NO,NO,NO,NO
1676,NO,YES,YES,YES,YES,YES
1677,NO,YES,YES,YES,YES,YES
1678,YES,YES,YES,YES,NO,YES
1679,YES,NO,NO,NO,NO,NO
1680,NO,NO,NO,NO,NO,NO
1681,YES,YES,YES,YES,NO,YES
1682,YES,YES,YES,YES,NO,YES
1683,NO,YES,YES,YES,YES,YES
1684,NO,YES,YES,YES,NO,YES
1685,NO,YES,YES,YES,YES,YES
1686,NO,NO,NO,NO,NO,NO
1687,NO,NO,NO,NO,NO,YES
1688,YES,NO,NO,NO,NO,NO
1689,NO,NO,NO,NO,NO,NO
1690,YES,YES,YES,NO,NO,YES
1691,NO,YES,YES,YES,YES,YES
1692,NO,NO,NO,NO,NO,NO
1693,NO,NO,NO,NO,NO,NO
1694,NO,NO,NO,NO,NO,NO
1695,NO,NO,NO,YES,NO,NO
1696,NO,NO,NO,NO,NO,NO
1697,NO,YES,YES,YES,YES,YES
1698,NO,NO,NO,YES,YES,YES
1699,YES,YES,YES,YES,NO,YES
1700,NO,YES,YES,YES,YES,YES
1701,NO,NO,NO,NO,NO,NO
1702,YES,YES,YES,YES,YES,YES
1703,NO,YES,YES,YES,NO,NO
1704,NO,YES,YES,YES,NO,NO
1705,NO,NO,NO,NO,NO,NO
1706,YES,NO,NO,NO,NO,NO
1707,NO,NO,NO,NO,NO,NO
1708,YES,YES,YES,YES,NO,YES
1709,NO,YES,YES,YES,YES,YES
1710,YES,YES,YES,YES,NO,NO
1711,NO,YES,YES,YES,NO,YES
1712,YES,YES,YES,YES,NO,YES
1713,NO,NO,NO,NO,NO,NO
1714,NO,NO,NO,NO,NO,NO
1715,NO,NO,NO,NO,NO,NO
1716,YES,YES,NO,NO,NO,YES
1717,NO,YES,YES,YES,NO,NO
1718,NO,NO,NO,NO,NO,NO
1719,NO,YES,YES,YES,NO,YES
1720,NO,YES,YES,YES,NO,NO
1721,NO,YES,NO,NO,NO,YES
1722,NO,YES,YES,YES,YES,YES
1723,YES,NO,NO,NO,NO,NO
1724,NO,NO,NO,NO,NO,YES
1725,NO,NO,NO,NO,NO,NO
1726,NO,YES,YES,NO,YES,YES
1727,NO,NO,NO,NO,NO,YES
1728,YES,YES,YES,YES,NO,YES
1729,NO,NO,NO,NO,NO,NO
1730,NO,YES,YES,YES,NO,YES
1731,NO,YES,YES,YES,NO,YES
1732,NO,YES,YES,YES,YES,YES
1733,NO,YES,YES,NO,NO,YES
1734,NO,YES,NO,YES,YES,YES
1735,YES,NO,NO,NO,NO,NO
1736,NO,YES,YES,YES,NO,NO
1737,NO,NO,NO,NO,NO,NO
1738,NO,YES,YES,YES,NO,YES
1739,NO,YES,YES,YES,YES,YES
1740,NO,YES,NO,YES,NO,YES
1741,YES,YES,YES,YES,YES,YES
1742,NO,YES,YES,YES,NO,YES
1743,NO,NO,NO,NO,NO,NO
1744,NO,NO,NO,NO,NO,NO
1745,YES,NO,NO,NO,NO,NO
1746,NO,NO,YES,NO,NO,NO
1747,NO,NO,NO,NO,NO,NO
1748,NO,NO,NO,NO,NO,NO
1749,NO,YES,YES,YES,YES,YES
1750,NO,YES,NO,NO,NO,YES
1751,NO,YES,YES,NO,NO,NO
1752,YES,YES,YES,YES,NO,YES
1753,YES,YES,YES,YES,NO,YES
1754,YES,YES,YES,NO,NO,YES
1755,NO,YES,NO,NO,NO,YES
1756,YES,YES,YES,YES,NO,YES
1757,NO,NO,NO,NO,NO,NO
1758,NO,NO,NO,NO,NO,NO
1759,YES,YES,YES,YES,NO,NO
1760,NO,NO,NO,NO,NO,NO
1761,NO,YES,YES,YES,NO,NO
1762,NO,NO,YES,YES,NO,YES
1763,NO,NO,NO,NO,NO,NO
1764,NO,NO,NO,NO,NO,NO
1765,NO,YES,YES,YES,YES,YES
1766,NO,NO,NO,NO,NO,NO
1767,NO,NO,NO,NO,NO,NO
1768,NO,NO,YES,NO,YES,YES
1769,NO,NO,NO,NO,NO,YES
1770,NO,NO,NO,NO,NO,NO
1771,NO,NO,NO,NO,NO,NO
1772,NO,NO,NO,NO,NO,NO
1773,YES,NO,NO,NO,NO,NO
1774,NO,NO,YES,YES,NO,NO
1775,NO,NO,NO,NO,NO,NO
1776,NO,NO,NO,NO,NO,NO
1777,NO,NO,NO,NO,NO,NO
1778,YES,NO,NO,NO,NO,NO
1779,YES,YES,YES,YES,NO,NO
1780,NO,NO,NO,NO,NO,NO
1781,NO,NO,NO,NO,NO,NO
1782,NO,NO,NO,NO,NO,NO
1783,NO,NO,YES,YES,NO,NO
1784,YES,NO,NO,NO,NO,NO
1785,NO,YES,YES,YES,NO,YES
1786,YES,YES,NO,NO,NO,YES
1787,NO,NO,NO,NO,NO,NO
1788,YES,YES,YES,YES,YES,YES
1789,NO,NO,NO,NO,NO,NO
1790,YES,YES,YES,NO,NO,YES
1791,NO,NO,NO,NO,NO,NO
1792,YES,YES,YES,YES,NO,NO
1793,YES,NO,NO,NO,NO,NO
1794,NO,YES,YES,YES,YES,YES
1795,NO,YES,YES,YES,NO,YES
1796,YES,YES,YES,YES,NO,YES
1797,YES,NO,YES,YES,NO,NO
1798,NO,YES,YES,NO,NO,YES
1799,NO,NO,YES,YES,NO,NO
1800,NO,NO,NO,NO,NO,NO
1801,NO,YES,YES,YES,NO,YES
1802,YES,YES,NO,YES,NO,YES
1803,YES,YES,YES,YES,YES,YES
1804,YES,YES,YES,YES,NO,YES
1805,NO,NO,YES,YES,NO,YES
1806,NO,NO,NO,NO,NO,NO
1807,NO,YES,YES,YES,NO,YES
1808,NO,YES,YES,YES,NO,YES
1809,YES,YES,YES,YES,NO,NO
1810,NO,YES,YES,YES,NO,YES
1811,NO,NO,YES,YES,NO,YES
1812,YES,NO,YES,NO,NO,YES
1813,NO,YES,YES,YES,YES,YES
1814,NO,YES,YES,YES,NO,YES
1815,NO,YES,YES,YES,NO,NO
1816,NO,NO,NO,NO,NO,YES
1817,NO,NO,NO,NO,NO,YES
1818,NO,NO,YES,NO,NO,YES
1819,YES,YES,YES,YES,NO,YES
1820,NO,NO,NO,NO,NO,NO
1821,YES,YES,NO,NO,NO,YES
1822,NO,NO,NO,NO,NO,NO
1823,NO,NO,NO,NO,NO,NO
1824,NO,YES,NO,NO,NO,YES
1825,NO,YES,YES,YES,NO,NO
1826,NO,NO,NO,NO,NO,NO
1827,NO,YES,YES,YES,NO,NO
1828,NO,YES,YES,YES,NO,YES
1829,NO,YES,YES,YES,NO,NO
1830,NO,NO,NO,NO,NO,NO
1831,NO,YES,YES,YES,YES,YES
1832,NO,NO,NO,NO,NO,NO
1833,NO,YES,NO,NO,NO,YES
1834,NO,NO,NO,NO,NO,NO
1835,YES,NO,YES,NO,NO,NO
1836,NO,YES,YES,YES,YES,YES
1837,NO,YES,YES,YES,NO,YES
1838,NO,YES,YES,NO,NO,YES
1839,NO,YES,YES,YES,NO,YES
1840,NO,YES,NO,YES,YES,YES
1841,NO,YES,YES,YES,YES,YES
1842,NO,YES,YES,YES,NO,NO
1843,NO,YES,NO,YES,YES,YES
1844,NO,YES,YES,YES,NO,YES
1845,NO,YES,YES,YES,NO,YES
1846,YES,YES,YES,YES,NO,YES
1847,NO,NO,NO,NO,NO,NO
1848,NO,YES,YES,YES,NO,YES
1849,NO,NO,YES,NO,NO,NO
1850,YES,NO,NO,NO,NO,NO
1851,NO,YES,YES,NO,NO,YES
1852,NO,YES,YES,YES,YES,YES
1853,NO,YES,YES,YES,NO,YES
1854,YES,NO,NO,NO,NO,NO
1855,NO,NO,NO,NO,NO,NO
1856,YES,NO,NO,NO,NO,NO
1857,NO,NO,NO,NO,NO,NO
1858,NO,NO,NO,NO,NO,NO
1859,NO,NO,NO,NO,NO,NO
1860,NO,NO,YES,NO,NO,NO
1861,NO,NO,NO,NO,NO,NO
1862,NO,YES,YES,YES,NO,NO
1863,NO,NO,NO,NO,NO,NO
1864,NO,NO,NO,NO,NO,YES
1865,NO,NO,YES,NO,NO,YES
1866,YES,YES,YES,NO,NO,YES
1867,NO,NO,NO,YES,NO,NO
1868,NO,NO,YES,YES,NO,NO
1869,YES,NO,NO,NO,NO,NO
1870,NO,YES,YES,YES,NO,NO
1871,NO,YES,YES,YES,NO,YES
1872,NO,NO,NO,NO,NO,NO
1873,NO,NO,NO,NO,NO,NO
1874,NO,NO,NO,NO,NO,NO
1875,NO,NO,NO,NO,NO,NO
1876,YES,YES,YES,NO,NO,YES
1877,NO,NO,NO,NO,NO,NO
1878,NO,YES,YES,YES,NO,YES
1879,YES,YES,YES,NO,NO,YES
1880,NO,YES,YES,YES,NO,YES
1881,NO,NO,YES,YES,NO,YES
1882,NO,NO,NO,NO,NO,NO
1883,NO,NO,NO,NO,NO,NO
1884,NO,YES,YES,NO,NO,YES
1885,NO,NO,YES,NO,NO,NO
1886,NO,YES,YES,YES,YES,YES
1887,NO,YES,YES,YES,NO,YES
1888,NO,NO,NO,NO,NO,NO
1889,NO,NO,NO,NO,NO,NO
1890,YES,NO,NO,NO,NO,YES
1891,YES,YES,YES,YES,NO,YES
1892,NO,NO,NO,YES,NO,NO
1893,NO,NO,YES,NO,NO,YES
1894,NO,NO,NO,NO,NO,NO
1895,NO,YES,YES,YES,NO,NO
1896,NO,YES,YES,YES,NO,YES
1897,NO,NO,NO,NO,NO,NO
1898,NO,NO,NO,NO,NO,NO
1899,NO,NO,NO,NO,NO,NO
1900,YES,YES,YES,YES,NO,YES
1901,YES,YES,YES,NO,NO,YES
1902,YES,YES,YES,YES,NO,YES
1903,NO,NO,NO,NO,NO,NO
1904,NO,NO,NO,NO,NO,NO
1905,NO,NO,NO,NO,NO,NO
1906,NO,YES,YES,YES,NO,YES
1907,NO,YES,YES,YES,NO,YES
1908,YES,NO,NO,NO,NO,NO
1909,NO,NO,NO,NO,NO,YES
1910,NO,NO,NO,NO,NO,NO
1911,NO,NO,NO,NO,NO,NO
1912,NO,NO,NO,NO,NO,NO
1913,YES,YES,YES,YES,NO,YES
1914,YES,NO,NO,NO,NO,NO
1915,NO,YES,YES,YES,NO,YES
1916,YES,NO,NO,NO,NO,YES
1917,NO,YES,YES,YES,YES,YES
1918,NO,NO,NO,NO,NO,NO
1919,NO,NO,NO,NO,NO,NO
1920,NO,NO,NO,NO,NO,NO
1921,NO,YES,YES,YES,YES,YES
1922,NO,NO,NO,NO,NO,NO
1923,NO,YES,YES,YES,NO,YES
1924,NO,NO,YES,NO,NO,YES
1925,NO,NO,NO,NO,NO,NO
1926,NO,NO,NO,NO,NO,NO
1927,NO,NO,NO,NO,NO,NO
1928,NO,YES,YES,NO,NO,YES
1929,NO,NO,YES,NO,NO,NO
1930,NO,YES,YES,YES,YES,YES
1931,NO,NO,NO,NO,NO,NO
1932,NO,YES,YES,YES,NO,YES
1933,NO,NO,NO,NO,NO,NO
1934,NO,NO,NO,NO,NO,NO
1935,NO,NO,NO,NO,NO,NO
1936,NO,NO,NO,NO,NO,NO
1937,YES,YES,YES,YES,NO,YES
1938,NO,NO,NO,NO,NO,NO
1939,YES,YES,YES,YES,NO,YES
1940,YES,NO,NO,NO,NO,NO
1941,NO,NO,NO,NO,NO,NO
1942,NO,YES,YES,NO,YES,YES
1943,YES,YES,YES,YES,NO,NO
1944,YES,YES,NO,NO,NO,YES
1945,NO,NO,NO,NO,NO,NO
1946,NO,YES,YES,YES,NO,YES
1947,NO,NO,NO,NO,NO,NO
1948,NO,YES,YES,YES,NO,NO
1949,NO,NO,NO,NO,NO,NO
1950,NO,NO,NO,NO,NO,YES
1951,NO,YES,YES,YES,YES,YES
1952,NO,YES,YES,YES,NO,NO
1953,NO,YES,YES,YES,NO,YES
1954,YES,NO,NO,NO,NO,NO
1955,NO,NO,YES,NO,YES,YES
1956,NO,NO,NO,NO,NO,NO
1957,NO,NO,NO,NO,NO,YES
1958,YES,NO,NO,NO,NO,NO
1959,NO,YES,NO,YES,NO,YES
1960,NO,YES,YES,YES,NO,YES
1961,NO,NO,NO,NO,NO,NO
1962,NO,NO,NO,NO,NO,NO
1963,YES,YES,YES,YES,NO,NO
1964,YES,YES,YES,YES,NO,YES
1965,YES,NO,NO,NO,NO,NO
1966,YES,YES,YES,NO,NO,NO
1967,NO,YES,YES,NO,NO,YES
1968,NO,YES,YES,YES,NO,NO
1969,NO,NO,NO,NO,NO,NO
1970,NO,NO,NO,NO,NO,NO
1971,NO,NO,NO,NO,NO,NO
1972,NO,NO,YES,YES,NO,NO
1973,NO,YES,YES,YES,NO,YES
1974,NO,YES,NO,YES,NO,NO
1975,NO,YES,YES,YES,YES,YES
1976,NO,NO,YES,YES,NO,YES
1977,YES,NO,YES,YES,NO,NO
1978,NO,YES,NO,NO,NO,NO
1979,NO,YES,NO,NO,NO,YES
1980,NO,NO,NO,NO,NO,NO
1981,NO,YES,YES,YES,NO,NO
1982,NO,NO,NO,NO,NO,NO
1983,NO,NO,NO,NO,NO,NO
1984,NO,NO,NO,NO,NO,YES
1985,NO,NO,NO,NO,NO,NO
1986,YES,YES,NO,NO,NO,YES
1987,NO,NO,NO,NO,NO,NO
1988,NO,NO,NO,NO,NO,NO
1989,NO,YES,YES,YES,NO,YES
1990,NO,NO,YES,NO,NO,NO
1991,YES,NO,NO,NO,NO,NO
1992,NO,NO,NO,NO,NO,NO
1993,NO,NO,NO,NO,NO,NO
1994,NO,NO,YES,NO,NO,NO
1995,NO,YES,YES,YES,YES,YES
1996,NO,NO,NO,NO,NO,NO
1997,NO,NO,NO,NO,NO,NO
1998,NO,YES,YES,YES,NO,YES
1999,NO,NO,NO,NO,NO,NO
2000,YES,NO,NO,NO,NO,NO
2001,NO,NO,YES,YES,NO,NO
2002,NO,NO,NO,NO,NO,YES
2003,YES,YES,YES,YES,NO,YES
2004,NO,NO,NO,NO,NO,YES
2005,NO,YES,YES,YES,NO,YES
2006,NO,YES,YES,YES,NO,YES
2007,NO,NO,NO,NO,NO,NO
2008,NO,YES,YES,YES,NO,YES
2009,NO,NO,YES,NO,YES,YES
2010,NO,YES,YES,YES,NO,YES
2011,NO,NO,NO,NO,NO,NO
2012,NO,YES,YES,YES,YES,NO
2013,YES,YES,YES,YES,NO,YES
2014,NO,NO,NO,NO,NO,NO
2015,NO,NO,NO,NO,YES,NO
2016,YES,YES,YES,YES,NO,YES
2017,YES,YES,YES,NO,NO,YES
2018,YES,YES,NO,NO,NO,NO
2019,NO,NO,NO,YES,NO,NO
2020,NO,YES,NO,YES,NO,YES
2021,NO,YES,YES,NO,NO,YES
2022,NO,YES,YES,NO,NO,YES
2023,NO,YES,YES,YES,YES,YES
2024,YES,NO,NO,NO,NO,NO
2025,YES,NO,NO,NO,NO,NO
2026,YES,NO,NO,NO,NO,NO
