,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
194,456.8,1280.0,720.0,,120.0,,3.00
195,959.0,,,,,,
196,27.12,,,,,,
197,314.5,1280.0,720.0,,240.0,,2.60
198,400.2,,,,,8.0,2.3
199,214.8,1366.0,768.0,,240.0,8.0,1.6
200,708.0,,,,480.0,,3.00
201,326.2,,,,,,
202,329.8,1280.0,720.0,,256.0,,3.00
203,110.0,,,,,,
204,304.5,,,,,,
205,162.8,,,,,,
206,67.06,,,,,,
207,382.0,,,,,,
208,85.7,,,,,,
209,651.5,,,,,,
210,104.94,,,,,,
211,1703.0,,,,,,
212,127.75,,,,,,
213,1291.0,,,,,,
214,731.5,,,,,,
215,827.0,,,,,,
216,310.8,,,,,,
217,335.8,,,,,,
218,203.0,,,,,,
219,101.0,,,,,,
220,62.94,,,,,,
221,116.25,,,,,,
222,20.78,,,,,,
223,104.44,,,,,,
224,667.5,1280.0,720.0,,960.0,,
225,332.0,,,,,,
226,339.2,,,,,,
227,131.2,,,,,,
228,29.86,,,,,,
229,1132.0,,,,2.0,,
230,60.78,,,,,,
231,453.8,1280.0,720.0,,240.0,,2.40
232,70.0,,,,,,
233,354.0,,,,,,
234,571.5,,,,,,
235,283.2,1280.0,720.0,,240.0,,2.60
236,318.2,,,,,,
237,100.1,,,,,,
238,325.8,,,,,,
239,47.0,,,,,,
240,338.8,,,,,,
241,445.8,,,,,,
242,596.5,,,,,,
243,117.06,,,,,,
244,342.2,,,,,,
245,639.0,1280.0,720.0,,240.0,,
246,89.25,,,,,,
247,512.0,,,,,,
248,335.8,,,,,,
249,559.5,1280.0,720.0,,2.0,,2.70
250,352.5,1280.0,720.0,,240.0,,2.60
251,341.8,,,,,,
252,691.5,1920.0,1080.0,,960.0,,3.00
253,405.2,,,,,,
254,95.0,,,,,,
255,116.56,,,,,,
256,21.8,,,,,,
257,626.0,1920.0,1080.0,,240.0,,3.00
258,481.8,1280.0,720.0,,480.0,,3.00
259,389.8,1280.0,720.0,,240.0,,
260,516.0,,,,,,
261,85.06,,,,,,
262,500.5,,,,,,
263,462.2,,,,,,
264,28.8,,,,,,
265,491.0,,,,,,
266,392.0,1280.0,720.0,,480.0,,2.60
267,383.5,1280.0,720.0,,120.0,,3.00
268,568.5,1920.0,1080.0,,960.0,,2.30
269,573.0,1280.0,720.0,,960.0,,3.00
270,142.9,,,,,,
271,10.85,,,,,,
272,80.75,,,,,,
273,23.88,,,,,,
274,251.6,,,,,,
275,451.5,1280.0,720.0,,960.0,,2.60
276,80.5,,,,,,
277,478.5,,,,,,
278,766.0,,,,,,
279,221.2,1366.0,768.0,,,,
280,399.0,,,,,,
281,45.1,,,,,,
282,92.5,,,,,,
283,1463.0,1920.0,1080.0,,4.0,,2.80
284,373.0,,,,,,
285,416.2,1280.0,720.0,,480.0,,2.60
286,394.8,,,,,,
287,382.0,,,,,,
288,293.2,1280.0,720.0,,120.0,,2.60
289,783.5,,,,,,
290,727.0,,,,,,
291,699.0,1920.0,1080.0,2.0,2.0,64.0,4.40
292,391.5,,,,,,
293,411.5,,,,,,
294,229.6,,,,,,
295,199.9,,,,,,
296,542.5,,,,,,
297,548.5,,,,,,
298,655.5,,,,,,
299,464.5,1280.0,720.0,,120.0,,2.40
300,334.2,1280.0,720.0,,240.0,,2.60
301,112.2,,,,,,
302,114.5,,,,,,
303,123.2,,,,,,
304,457.2,,,,,,
305,89.6,,,,,,
306,58.56,,,,,,
307,130.4,,,,,,
308,318.0,,,,,,
309,88.25,,,,,,
310,103.25,,,,,,
311,2506.0,,,,,,
312,309.2,,,,,,
313,526.0,,,,,,
314,543.5,,,,,,
315,2288.0,,,,,,
316,377.8,1280.0,720.0,,240.0,,
317,382.5,,,,,,
318,307.2,1280.0,720.0,,120.0,,
319,86.1,,,,,,
320,1077.0,,,16.0,512.0,,
321,58.62,,,,,,
322,53.16,,,,,,
323,85.25,,,,,,
324,363.2,,,,,,
325,91.7,,,,,,
326,449.8,1920.0,1080.0,,960.0,,2.80
327,289.0,,,,,,
328,313.2,,,,,,
329,22.06,,,,,,
330,374.5,,,,,,
331,59.22,1024.0,576.0,,,,
332,272.0,1280.0,720.0,,120.0,,3.00
333,39.12,,,,,,
334,45.1,,,,,,
335,27.94,,,,,,
336,469.0,1280.0,720.0,,960.0,,3.10
337,200.0,,,,,,
338,107.6,,,,,,
339,652.0,1920.0,1080.0,,960.0,,2.80
340,422.5,1280.0,720.0,,480.0,,
341,79.4,,,,,,
342,27.58,,,,,,
343,235.0,,,256.0,256.0,,2.40
344,571.5,,,,,,
345,526.5,,,,,,
346,214.8,1366.0,768.0,,256.0,8.0,1.6
347,103.5,,,,,,
348,485.5,,,,,,
