,INFO_ID,BRAND,CURRENCY,COLOR,CONDITIONS,PRICE
2361,I2361,dell,$,black,Used,157.5
2362,I2362,other,$,other,New,173.0
2363,I2363,other,$,other,Used,433.2
2364,I2364,other,$,black,Undefined,700.0
2365,I2365,lenovo,$,black,Undefined,911.0
2366,I2366,dell,$,silver,Open box,799.0
2367,I2367,acer,$,silver,Open box,273.0
2368,I2368,lenovo,$,other,Used,350.0
2369,I2369,lenovo,$,other,Undefined,160.0
2370,I2370,dell,$,black,Used,90.0
2371,I2371,samsung,$,silver,Open box,129.5
2372,I2372,dell,$,other,Used,250.0
2373,I2373,microsoft,$,other,Used,177.1
2374,I2374,lenovo,$,black,Used,190.0
2375,I2375,dell,$,black,Used,180.0
2376,I2376,dell,$,black,Undefined,87.3
2377,I2377,samsung,$,silver,Open box,247.0
2378,I2378,dell,$,other,Used,80.0
2379,I2379,lenovo,$,black,Used,90.0
2380,I2380,hp,$,other,Used,48.0
2381,I2381,dell,$,other,Very Good - Refurbished,220.0
2382,I2382,hp,$,multicolor,Used,80.0
2383,I2383,other,$,other,Used,258.0
2384,I2384,dell,$,black,Undefined,32.94
2385,I2385,lenovo,$,black,Used,23.0
2386,I2386,hp,$,black,Undefined,29.0
2387,I2387,hp,$,silver,New,370.0
2388,I2388,hp,$,multicolor,Good - Refurbished,200.0
2389,I2389,lenovo,$,other,Excellent - Refurbished,170.0
2390,I2390,lenovo,$,black,Used,370.0
2391,I2391,hp,$,silver,Excellent - Refurbished,300.0
2392,I2392,hp,$,multicolor,Good - Refurbished,85.0
2393,I2393,lenovo,$,multicolor,Good - Refurbished,75.0
2394,I2394,microsoft,$,silver,Used,198.0
2395,I2395,acer,$,black,Very Good - Refurbished,70.0
2396,I2396,dell,$,other,Used,316.0
2397,I2397,dell,$,other,Used,140.0
2398,I2398,lg,$,black,Undefined,425.0
2399,I2399,acer,$,gray,Good - Refurbished,50.0
2400,I2400,lenovo,$,black,Used,150.0
2401,I2401,microsoft,$,gray,Used,270.0
2402,I2402,lg,$,black,Used,425.0
2403,I2403,hp,$,black,Used,30.48
2404,I2404,dell,$,silver,Used,440.0
2405,I2405,lg,$,gray,Used,619.0
2406,I2406,acer,$,silver,Used,60.0
2407,I2407,lenovo,$,other,Used,393.2
2408,I2408,dell,$,other,Used,327.8
2409,I2409,dell,$,other,Used,279.5
2410,I2410,lenovo,$,other,Used,200.0
2411,I2411,samsung,$,black,Used,130.0
2412,I2412,dell,$,black,Excellent - Refurbished,265.0
2413,I2413,other,$,blue,Undefined,148.0
2414,I2414,lenovo,$,black,Used,230.0
2415,I2415,dell,$,other,Used,345.0
2416,I2416,microsoft,$,black,Used,255.0
2417,I2417,dell,$,other,Used,442.8
2418,I2418,other,$,other,New,30.77
2419,I2419,hp,$,multicolor,Used,490.0
2420,I2420,asus,$,black,Used,780.5
2421,I2421,lenovo,$,gray,Good - Refurbished,250.0
2422,I2422,hp,$,other,Used,49.0
2423,I2423,other,$,silver,Undefined,1295.0
2424,I2424,dell,$,other,Used,312.0
2425,I2425,acer,$,other,Used,126.56
2426,I2426,hp,$,blue,Undefined,519.5
2427,I2427,dell,$,blue,Very Good - Refurbished,349.0
2428,I2428,hp,$,silver,Used,120.0
2429,I2429,hp,$,white,Undefined,100.0
2430,I2430,lg,$,white,Undefined,499.0
2431,I2431,lenovo,$,other,Undefined,56.0
2432,I2432,asus,$,other,Used,196.1
2433,I2433,asus,$,other,For parts or not working,138.0
2434,I2434,acer,$,black,Undefined,129.0
2435,I2435,dell,$,black,Used,160.0
2436,I2436,dell,$,other,Used,21.95
2437,I2437,dell,$,silver,Used,199.0
2438,I2438,hp,$,silver,Used,190.0
2439,I2439,dell,$,blue,Undefined,200.0
2440,I2440,dell,$,other,Used,324.0
2441,I2441,microsoft,$,other,For parts or not working,75.0
2442,I2442,other,$,other,Used,177.1
2443,I2443,microsoft,$,black,Undefined,570.0
2444,I2444,dell,$,black,Undefined,154.0
2445,I2445,hp,$,other,Used,189.8
2446,I2446,samsung,$,other,Used,63.25
2447,I2447,dell,$,other,Used,292.2
2448,I2448,other,$,black,Seller refurbished,332.8
2449,I2449,lenovo,$,other,Used,391.0
2450,I2450,lenovo,$,other,New,714.5
2451,I2451,hp,$,other,Used,50.0
2452,I2452,hp,$,silver,Certified - Refurbished,939.5
2453,I2453,hp,$,black,For parts or not working,115.0
2454,I2454,hp,$,other,Used,300.0
2455,I2455,microsoft,$,silver,For parts or not working,60.0
2456,I2456,lenovo,$,gray,Undefined,115.0
2457,I2457,lenovo,$,silver,Used,300.0
2458,I2458,dell,$,other,Used,279.5
2459,I2459,other,$,other,Used,162.0
2460,I2460,samsung,$,other,Used,46.0
2461,I2461,dell,$,black,Used,119.0
2462,I2462,hp,$,silver,Used,110.0
2463,I2463,dell,$,other,Used,303.0
2464,I2464,dell,$,black,Undefined,400.0
2465,I2465,dell,$,gray,Open box,749.0
2466,I2466,lenovo,$,black,Used,163.2
2467,I2467,dell,$,black,Used,240.0
2468,I2468,hp,$,other,Used,69.9
2469,I2469,hp,$,gray,Certified - Refurbished,479.5
2470,I2470,dell,$,black,Excellent - Refurbished,1900.0
2471,I2471,lenovo,$,other,Used,393.2
2472,I2472,dell,$,other,Used,300.2
2473,I2473,lenovo,$,other,Open box,500.0
2474,I2474,dell,$,multicolor,Certified - Refurbished,899.0
2475,I2475,lenovo,$,other,Used,200.0
2476,I2476,dell,$,gray,Excellent - Refurbished,360.0
2477,I2477,hp,$,red,Undefined,259.0
2478,I2478,hp,$,other,Used,179.0
2479,I2479,lenovo,$,black,Used,231.0
2480,I2480,dell,$,silver,Excellent - Refurbished,1050.0
2481,I2481,microsoft,$,other,Undefined,158.1
2482,I2482,dell,$,black,Used,200.0
2483,I2483,dell,$,silver,Undefined,380.0
2484,I2484,hp,$,black,Used,79.94
2485,I2485,other,$,other,Used,299.0
2486,I2486,hp,$,silver,New,325.0
2487,I2487,dell,$,other,Used,298.8
2488,I2488,dell,$,other,Used,352.0
2489,I2489,dell,$,other,Used,294.0
2490,I2490,hp,$,other,Used,44.0
2491,I2491,acer,$,gray,Undefined,550.0
