,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY
3694,S3694,15.6,black,1920,1080
3695,S3695,14.0,silver,1366,768
3696,S3696,14.0,silver,1920,1080
3697,S3697,14.0,black,1920,1080
3698,S3698,8.43,other,1920,1080
3699,S3699,8.43,other,1920,1080
3700,S3700,15.6,silver,1920,1200
3701,S3701,11.6,gray,1366,768
3702,S3702,8.43,other,1920,1080
3703,S3703,8.43,black,1920,1080
3704,S3704,13.3,other,1280,720
3705,S3705,8.43,other,1920,1080
3706,S3706,8.43,other,1920,1080
3707,S3707,14.0,black,1366,768
3708,S3708,8.43,other,1920,1080
3709,S3709,12.5,black,1920,1080
3710,S3710,8.43,other,1920,1080
3711,S3711,8.43,other,1920,1080
3712,S3712,10.8,other,1920,1080
3713,S3713,8.43,other,1920,1080
3714,S3714,14.0,other,1920,1080
3715,S3715,8.43,other,1920,1080
3716,S3716,8.43,black,1920,1080
3717,S3717,8.43,other,1920,1080
3718,S3718,15.6,black,1280,720
3719,S3719,15.6,black,1920,1080
3720,S3720,8.43,other,1920,1080
3721,S3721,8.43,other,1920,1080
3722,S3722,8.43,other,1920,1080
3723,S3723,8.43,other,1920,1080
3724,S3724,15.6,black,1920,1080
3725,S3725,8.43,other,1920,1080
3726,S3726,8.43,other,1920,1080
3727,S3727,15.6,black,1920,1080
3728,S3728,8.43,other,1920,1080
3729,S3729,8.43,other,1920,1080
3730,S3730,14.0,other,1920,1080
3731,S3731,11.6,black,1366,768
3732,S3732,11.6,other,1920,1080
3733,S3733,14.0,other,1920,1080
3734,S3734,11.6,black,1920,1080
3735,S3735,14.0,black,3840,2160
3736,S3736,11.6,black,1366,768
3737,S3737,15.0,other,1920,1080
3738,S3738,11.6,black,1366,768
3739,S3739,11.6,black,1366,768
3740,S3740,14.0,black,1600,900
3741,S3741,14.0,black,1920,1080
3742,S3742,14.0,silver,1366,768
3743,S3743,13.5,silver,1920,1080
3744,S3744,15.6,other,1920,1080
3745,S3745,8.43,other,1920,1080
3746,S3746,12.0,other,1920,1080
3747,S3747,14.0,green,1920,1080
3748,S3748,14.0,black,1920,1080
3749,S3749,10.3,gray,1920,1080
3750,S3750,14.0,other,1920,1080
3751,S3751,11.6,black,1366,768
3752,S3752,12.5,black,1920,1080
3753,S3753,11.6,black,1366,768
3754,S3754,15.6,silver,1920,1080
3755,S3755,15.6,black,1920,1080
3756,S3756,13.3,other,1920,1080
3757,S3757,10.5,silver,1920,1280
3758,S3758,14.0,black,1366,768
3759,S3759,14.0,other,1366,768
3760,S3760,15.6,black,1920,1200
3761,S3761,16.0,gray,1920,1200
3762,S3762,14.0,black,1920,1080
3763,S3763,14.0,other,1920,1080
3764,S3764,10.8,other,1920,1080
3765,S3765,8.43,other,1920,1080
3766,S3766,8.43,other,1920,1080
3767,S3767,8.43,other,1920,1080
3768,S3768,10.8,other,1920,1080
3769,S3769,8.43,other,1920,1080
3770,S3770,17.3,silver,1600,900
3771,S3771,8.43,other,1920,1080
3772,S3772,14.0,other,1920,1080
3773,S3773,8.43,other,1920,1080
3774,S3774,8.43,other,1920,1080
3775,S3775,13.3,black,1366,768
3776,S3776,8.43,other,1920,1080
3777,S3777,13.3,other,1920,1080
3778,S3778,8.43,other,1920,1080
3779,S3779,14.0,other,1920,1080
3780,S3780,8.43,other,1920,1080
3781,S3781,12.5,other,1920,1080
3782,S3782,14.0,other,1280,720
3783,S3783,14.0,silver,1920,1080
3784,S3784,8.43,other,1920,1080
3785,S3785,15.6,red,1366,768
3786,S3786,14.0,silver,1920,1080
3787,S3787,8.43,other,1920,1080
3788,S3788,8.43,other,1920,1080
3789,S3789,14.0,other,1280,720
3790,S3790,8.43,black,1920,1080
3791,S3791,14.0,black,1280,720
3792,S3792,8.43,other,1920,1080
3793,S3793,11.6,other,1920,1080
3794,S3794,8.43,black,1920,1080
3795,S3795,8.43,other,1920,1080
3796,S3796,8.43,other,1920,1080
3797,S3797,13.3,other,1280,720
3798,S3798,8.43,other,1920,1080
3799,S3799,8.43,other,1920,1080
3800,S3800,14.0,other,1280,720
3801,S3801,15.6,other,1280,720
3802,S3802,8.43,other,1920,1080
3803,S3803,8.43,other,1920,1080
3804,S3804,12.5,black,1920,1080
3805,S3805,8.43,other,1920,1080
3806,S3806,11.6,other,1920,1080
3807,S3807,14.0,other,1280,720
3808,S3808,8.43,other,1920,1080
3809,S3809,8.43,other,1920,1080
3810,S3810,8.43,other,1920,1080
3811,S3811,8.43,other,1920,1080
3812,S3812,13.3,other,1920,1080
3813,S3813,8.43,other,1920,1080
3814,S3814,14.0,other,1280,720
3815,S3815,14.0,other,1920,1080
3816,S3816,14.0,other,1280,720
3817,S3817,8.43,other,1920,1080
3818,S3818,8.43,other,1920,1080
3819,S3819,15.6,black,1280,720
3820,S3820,8.43,other,1920,1080
3821,S3821,8.43,other,1920,1080
3822,S3822,8.43,other,1920,1080
3823,S3823,12.5,other,1280,720
3824,S3824,8.43,other,1920,1080
3825,S3825,8.43,other,1920,1080
3826,S3826,12.5,other,1920,1080
3827,S3827,15.6,other,1280,720
3828,S3828,8.43,other,1920,1080
3829,S3829,13.3,other,1280,720
3830,S3830,8.43,other,1920,1080
3831,S3831,8.43,other,1920,1080
3832,S3832,8.43,other,1920,1080
3833,S3833,14.0,black,1280,720
3834,S3834,15.6,other,1280,720
3835,S3835,8.43,other,1920,1080
3836,S3836,15.6,gray,1920,1080
3837,S3837,14.0,other,1280,720
3838,S3838,8.43,other,1920,1080
3839,S3839,8.43,other,1920,1080
3840,S3840,8.43,other,1920,1080
3841,S3841,8.43,other,1920,1080
3842,S3842,11.6,other,1920,1080
3843,S3843,14.0,other,1280,720
3844,S3844,8.43,other,1920,1080
3845,S3845,8.43,other,1920,1080
3846,S3846,12.5,other,1920,1080
3847,S3847,15.6,other,1920,1080
3848,S3848,8.43,other,1920,1080
3849,S3849,15.6,gray,1920,1080
3850,S3850,8.43,other,1920,1080
3851,S3851,8.43,other,1920,1080
3852,S3852,8.43,other,1920,1080
3853,S3853,8.43,other,1920,1080
3854,S3854,15.6,other,1280,720
3855,S3855,8.43,other,1920,1080
3856,S3856,8.43,other,1920,1080
3857,S3857,8.43,other,1920,1080
3858,S3858,8.43,black,1920,1080
3859,S3859,8.43,other,1920,1080
3860,S3860,14.0,other,1920,1080
3861,S3861,8.43,other,1920,1080
3862,S3862,12.5,other,1920,1080
3863,S3863,12.5,black,1280,720
3864,S3864,14.0,other,1280,720
3865,S3865,8.43,other,1920,1080
3866,S3866,14.0,other,1280,720
3867,S3867,8.43,black,1920,1080
3868,S3868,14.0,black,1280,720
3869,S3869,8.43,other,1920,1080
3870,S3870,8.43,other,1920,1080
3871,S3871,8.43,black,1920,1080
3872,S3872,15.6,black,1920,1080
3873,S3873,8.43,other,1920,1080
3874,S3874,8.43,other,1920,1080
3875,S3875,8.43,other,1920,1080
3876,S3876,8.43,other,1920,1080
3877,S3877,14.0,other,1920,1080
3878,S3878,8.43,other,1920,1080
3879,S3879,8.43,other,1920,1080
3880,S3880,14.0,other,1280,720
3881,S3881,14.0,other,1280,720
3882,S3882,8.43,other,1920,1080
3883,S3883,8.43,other,1920,1080
3884,S3884,14.0,other,1280,720
3885,S3885,14.0,other,1280,720
3886,S3886,8.43,black,1920,1080
3887,S3887,14.0,other,1600,900
3888,S3888,8.43,other,1920,1080
3889,S3889,8.43,other,1920,1080
3890,S3890,8.43,other,1920,1080
3891,S3891,14.0,other,1920,1080
3892,S3892,8.43,other,1920,1080
3893,S3893,8.43,other,1920,1080
3894,S3894,8.43,other,1920,1080
3895,S3895,8.43,other,1920,1080
