,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
3215,450,1920,1080,256,256,16,3
3216,200,1366,768,,,,1.1
3217,115,1920,1200,128,128,4,2
3218,749,3456,2160,,512,8,
3219,424.2,1280,720,,480,,2.7
3220,83.6,,,,,,
3221,344.8,1280,720,,240,,2.7
3222,352,,,,,,
3223,190,1920,1080,256,256,16,1.6
3224,50,,,32,32,4,1.1
3225,269.8,1366,768,,256,16,1.9
3226,500,1920,1080,,256,8,3
3227,299,2736,1824,256,256,8,2.6
3228,369.2,,,,,,
3229,229.1,,,,,,
3230,375.8,1280,720,,360,,1.99
3231,150,2736,1824,128,128,4,1.2
3232,215,,,,,,
3233,450,1920,1080,1,256,8,2.5
3234,199,1920,1080,512,512,16,2.7
3235,398.5,1280,720,,240,,3
3236,379.5,,,,,,
3237,800,,,256,256,16,
3238,860,,,,512,16,
3239,169,1920,1080,512,512,16,1.9
3240,375.2,1366,912,32,32,4,1.1
3241,467.5,1280,720,,960,,2.6
3242,1019,1920,1080,512,512,8,1.7
3243,180,1920,1080,,256,8,2.8
3244,40,1366,768,16,16,2,
3245,93.2,,,,,,
3246,637.5,,,,,,
3247,295,1920,1080,,120,,3.1
3248,400,1920,1280,512,512,16,
3249,218.9,1366,768,,128,4,2.4
3250,200,1366,768,1,1,8,2.5
3251,200,,,256,256,8,2.5
3252,90,1366,768,64,64,4,
3253,175,,,256,256,16,2.5
3254,98.25,,,,,,
3255,288.2,,,,,,
3256,130.6,,,,,,
3257,314.2,1280,720,,120,,2.7
3258,10.88,,,,,,
3259,85.44,,,,,,
3260,112.25,,,,,,
3261,403,1280,720,,480,,2.6
3262,234.8,1366,768,,500,8,1.6
3263,79,,,,,,
3264,426.5,,,,,,
3265,375.8,1280,720,,360,,1.99
3266,57.94,,,,,,
3267,204.2,,,,,,
3268,227.8,,,,,,
3269,10.95,,,,,,2.53
3270,76.7,,,,,,
3271,574.5,1920,1080,400,128,,3
