,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
1916,lenovo,$,other,Used,intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1917,dell,$,black,Undefined,intel,intel celeron n,1.1,GHz,notebook/laptop,chrome,emmc,gb,gb,11.6,gb
1918,dell,$,other,Used,other,intel core i5 7th generation,,unknown,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
1919,other,$,other,For parts or not working,other,see title/description,,unknown,notebook/laptop,unknown,other,unknown,unknown,,unknown
1920,dell,$,other,Used,other,intel core i7-6600u,2.6,GHz,other,unknown,ssd,gb,gb,12.5,unknown
1921,hp,$,silver,New,other,amd ryzen 3 pro,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1922,other,$,other,Very Good - Refurbished,other,intel core i5 4th generation,1.4,GHz,notebook/laptop,mac,ssd,unknown,gb,11.6,gb
1923,lenovo,$,black,Used,intel,intel celeron n2940 1.83ghz quad,1.83,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
1924,lenovo,$,black,Used,other,intel core i5,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
1925,asus,$,black,Used,other,intel celeron,2.16,GHz,notebook/laptop,unknown,hdd/ssd,unknown,unknown,15.6,unknown
1926,lenovo,$,black,Used,nvidia,intel core i7 6th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1927,lenovo,$,black,Excellent - Refurbished,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,unknown,gb,11.6,gb
1928,hp,$,black,Excellent - Refurbished,intel,intel core i5-8300h,3.1,GHz,notebook/laptop,windows,ssd,gb,gb,14,unknown
1929,hp,$,silver,Used,other,intel core i5 11th generation,,unknown,notebook/laptop,windows,hdd/ssd,tb,unknown,17.3,gb
1930,lenovo,$,black,Used,intel,intel core i3,3.6,GHz,notebook/laptop,windows,ssd,gb,gb,14.1,gb
1931,dell,$,other,Used,other,intel core 2 duo,,unknown,notebook/laptop,windows,ssd,unknown,gb,14,gb
1932,hp,$,silver,Used,intel,intel core i5 10th generation,1.6,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,17,gb
1933,hp,$,silver,Used,other,i5-7200u,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,15,gb
1934,samsung,$,other,New,other,intel celeron n4020,1.1,GHz,notebook/laptop,chrome,emmc,gb,unknown,11.6,gb
1935,asus,$,other,Used,other,intel core i7 4th generation,2,GHz,other,unknown,unknown,unknown,unknown,17,unknown
1936,dell,$,other,Used,other,intel core i5-6200u,2.3,GHz,other,unknown,ssd,gb,gb,15.6,gb
1937,dell,$,black,Very Good - Refurbished,intel,intel core i3 10th generation,1.2,GHz,notebook/laptop,windows,hdd/ssd,tb,gb,15.6,gb
1938,dell,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1939,dell,$,silver,Used,other,intel core i5 12th generation,,unknown,notebook/laptop,windows,ssd,unknown,gb,16,gb
1940,lenovo,$,black,Used,intel,intel celeron,1.6,GHz,notebook/laptop,chrome,emmc,unknown,gb,11.6,gb
1941,hp,$,other,Very Good - Refurbished,other,intel core i5 8th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,13,gb
1942,lenovo,$,black,Used,intel,intel celeron n,1.6,GHz,other,chrome,ssd,gb,gb,11.6,gb
1943,dell,$,black,Used,intel,intel celeron,1.1,GHz,notebook/laptop,windows,ssd,gb,gb,11.6,gb
1944,other,$,other,Used,other,intel core i5 6th generation,2.4,GHz,other,windows,ssd,unknown,gb,13.3,gb
1945,microsoft,$,other,Certified - Refurbished,other,intel core i5 11th generation,,unknown,notebook/laptop,unknown,ssd,unknown,gb,13.5,gb
1946,hp,$,gray,New,intel,intel core i5-8300h,2.3,GHz,notebook/laptop,windows,ssd,gb,gb,17.3,gb
1947,other,$,other,Good - Refurbished,other,intel core i5 7th generation,,unknown,other,windows,unknown,unknown,gb,14,gb
1948,hp,$,white,Used,intel,intel celeron,2.16,GHz,notebook/laptop,chrome,emmc,unknown,gb,14,gb
1949,lenovo,$,black,Very Good - Refurbished,other,intel core i5 8th generation,1.6,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1950,hp,$,silver,Used,intel,intel core i5 8th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1951,other,$,black,Undefined,intel,intel core i3 11th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
1952,dell,$,black,Used,intel,intel core i7 6th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1953,other,$,silver,New,other,intel celeron,2.9,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1954,asus,$,grey,New,other,mediatek 820 (8192),o2.6,GHz,notebook/laptop,chrome,emmc,gb,unknown,12,gb
1955,lenovo,$,black,Used,intel,intel celeron,2.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
1956,dell,$,black,Excellent - Refurbished,intel,intel core i5 11th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,13.3,gb
1957,dell,$,other,Very Good - Refurbished,intel,intel core i7 7th generation,,unknown,notebook/laptop,windows,ssd,unknown,gb,12.5,gb
1958,hp,$,yellow,Used,other,intel core i3 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,11.6,unknown
1959,dell,$,orange,Used,other,intel core i5 7th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1960,hp,$,silver,New,intel,intel core i3-1215u,1.2,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1961,lenovo,$,other,Open box,other,i7-1165g7,,unknown,other,unknown,ssd,gb,gb,14,gb
1962,dell,$,other,New,other,intel celeron,,unknown,other,unknown,unknown,unknown,unknown,14,unknown
1963,dell,$,silver,Undefined,intel,intel core i5 8th generation,1.6,GHz,notebook/laptop,windows,ssd,unknown,gb,12.3,gb
1964,hp,$,silver,Excellent - Refurbished,intel,intel core i7 12th generation,1.8,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,gb
1965,dell,$,black,Used,other,intel celeron,,unknown,other,chrome,unknown,unknown,gb,11.6,gb
1966,dell,$,black,Used,intel,intel core i3 6th generation,2.2,GHz,notebook/laptop,windows,ssd,gb,gb,13.3,gb
1967,dell,$,silver,New,nvidia,intel core i7 10th generation,2.7,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1968,hp,$,gray,Used,intel,intel celeron n,2.16,GHz,notebook/laptop,chrome,emmc,gb,gb,11.6,unknown
1969,dell,$,black,Used,other,core i5-10210u,2.1,GHz,notebook/laptop,windows,ssd,unknown,gb,,gb
1970,dell,$,other,Used,other,intel core i5 8th generation,,unknown,other,unknown,unknown,unknown,unknown,13.3,unknown
1971,lenovo,$,black,Used,other,intel core i5 1st generation,,unknown,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
1972,dell,$,other,Used,intel,intel core i7 6th generation,,unknown,notebook/laptop,windows,ssd,gb,gb,14,gb
1973,dell,$,other,Good - Refurbished,intel,intel core i5 7th generation,2.6,GHz,notebook/laptop,windows,hdd/ssd,tb,unknown,15,gb
1974,dell,$,other,Used,other,intel corei7-8850h,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1975,lenovo,$,other,Used,intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1976,dell,$,black,For parts or not working,intel,intel core i3 4th generation,1.9,GHz,notebook/laptop,unknown,other,unknown,unknown,15.6,gb
1977,dell,$,gray,Good - Refurbished,intel,intel core i7 8th generation,1.6,GHz,notebook/laptop,windows,ssd,unknown,gb,13,gb
1978,lenovo,$,black,Very Good - Refurbished,intel,intel core i5 8th gen,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1979,dell,$,silver,Undefined,nvidia,intel core i7 13th generation,2.4,GHz,notebook/laptop,windows,ssd,unknown,tb,16,gb
1980,lenovo,$,other,Used,other,amd ryzen 7 pro 4750u,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1981,dell,$,black,Used,intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,unknown
1982,dell,$,other,Used,intel,intel core 2 duo,,unknown,notebook/laptop,windows,unknown,unknown,unknown,15.4,gb
1983,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1984,lenovo,$,black,Used,intel,intel core i5,,unknown,notebook/laptop,windows,hdd/ssd,tb,unknown,14.1,gb
1985,lenovo,$,black,Used,intel,intel core i5 6th generation,,unknown,notebook/laptop,unknown,ssd,tb,tb,14,gb
1986,lenovo,$,black,Undefined,intel,intel core i7 8th generation,4.6,GHz,notebook/laptop,windows,ssd,unknown,tb,14,gb
1987,microsoft,$,silver,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,13.5,unknown
1988,hp,$,black,Undefined,other,nvidia tegra k1,2,GHz,other,chrome,unknown,gb,unknown,14,gb
1989,lenovo,$,black,Very Good - Refurbished,nvidia,intel core i7 3rd generation,2.9,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
1990,dell,$,black,Undefined,intel,intel celeron,1.1,GHz,other,chrome,emmc,unknown,gb,11.6,gb
1991,lenovo,$,multicolor,For parts or not working,intel,intel core m-5y71,1.2,GHz,notebook/laptop,windows,ssd,unknown,gb,13,gb
1992,lenovo,$,other,Used,other,intel core i3 6th generation,-3.1,GHz,notebook/laptop,windows,ssd,gb,gb,13.3,gb
1993,other,$,other,Used,other,intel core i5 8th generation,,unknown,notebook/laptop,windows,ssd,gb,gb,12.1,gb
1994,hp,$,gray,Used,other,intel core i5,2.5,GHz,notebook/laptop,unknown,hdd/ssd,gb,unknown,14,gb
1995,lenovo,$,other,Good - Refurbished,intel,intel core i5 3rd generation,2.6,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1996,lenovo,$,black,Used,other,amd ryzen 7,2.2,GHz,notebook/laptop,unknown,ssd,gb,gb,14,gb
1997,lenovo,$,black,Undefined,other,intel celeron,2,GHz,other,chrome,unknown,unknown,unknown,11.6,unknown
1998,dell,$,black,Used,intel,intel core i7 7th generation,2.9,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1999,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
2000,samsung,$,gray,Undefined,intel,intel core i5 10th generation,1.6,GHz,notebook/laptop,chrome,ssd,unknown,gb,13.3,gb
2001,dell,$,black,Used,other,intel core i5 8th generation,,unknown,notebook/laptop,windows,ssd,unknown,gb,14,gb
2002,hp,$,black,Used,intel,intel core i7 4th gen,2.7,GHz,notebook/laptop,windows,ssd,gb,gb,16,gb
2003,lenovo,$,brown,Used,other,"intel core i7 3rd gen,  4 cores,  8 logical processors",2.1,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2004,hp,$,black,Used,other,intel celeron,2.16,GHz,notebook/laptop,chrome,ssd,gb,gb,14,gb
2005,other,$,black,Undefined,nvidia,intel core i5 11th generation,2.7,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
2006,hp,$,red,Undefined,intel,intel pentium gold,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2007,lenovo,$,other,Used,other,intel core i5-8265u,,unknown,other,windows,ssd,unknown,gb,15.5,gb
2008,dell,$,black,Undefined,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2009,lenovo,$,black,Used,intel,intel celeron,2.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
2010,hp,$,silver,Used,intel,intel core i3 8th generation,2.3,GHz,notebook/laptop,windows,ssd,gb,gb,13,gb
2011,dell,$,silver,Used,other,intel core 2 duo,2.2,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
2012,lenovo,$,black,Used,intel,intel core i5,1.6,GHz,notebook/laptop,unknown,ssd,gb,gb,,gb
2013,other,$,silver,Used,other,intel core i5 5300u,2.3,GHz,other,windows,ssd,gb,gb,10.1,gb
2014,other,$,gray,New,intel,dual core,o3.4,GHz,notebook/laptop,windows,other,gb,gb,12,gb
2015,dell,$,black,Used,other,intel core i5-6300u,2.3,GHz,other,windows,ssd,gb,gb,14,gb
2016,asus,$,blue,Undefined,intel,intel core i7 12th generation,4.7,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
2017,acer,$,black,Very Good - Refurbished,other,intel celeron,1.6,GHz,notebook/laptop,linux,ssd,gb,gb,11.6,gb
2018,acer,$,black,Undefined,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,unknown,gb,11.6,gb
2019,dell,$,black,Undefined,intel,intel core i7 6th generation,3.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2020,samsung,$,silver,Undefined,other,qualcomm snapdragon 7c gen 2,2.55,GHz,notebook/laptop,windows,other,unknown,gb,14,gb
2021,dell,$,other,Used,other,intel core i5 6th generation,2.4,GHz,notebook/laptop,unknown,ssd,unknown,tb,14,unknown
2022,hp,$,silver,Very Good - Refurbished,intel,intel core i5-6300u,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2023,dell,$,black,Very Good - Refurbished,intel,intel core i5 8th generation,3.4,GHz,notebook/laptop,windows,ssd,tb,unknown,14,unknown
2024,other,$,other,Used,other,intel core i5 7th generation,,unknown,notebook/laptop,windows,ssd,gb,gb,14,gb
2025,lenovo,$,other,Undefined,other,undefined,2.7,GHz,notebook/laptop,windows,unknown,gb,gb,15.6,gb
2026,other,$,other,Used,other,intel i5 6th generation,2.3,GHz,notebook/laptop,windows,unknown,gb,gb,11.6,gb
2027,lg,$,gray,Undefined,intel,intel core i7 12th generation,2.9,GHz,notebook/laptop,windows,ssd,unknown,gb,17,gb
2028,hp,$,brown,Used,other,intel atom dual-core,1.66,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,10.1,gb
2029,lenovo,$,black,Used,amd,amd ryzen 5,2.1,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2030,lenovo,$,black,Excellent - Refurbished,amd,amd ryzen 7,3.3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2031,dell,$,other,Used,other,intel core i7 8th generation,1.9,GHz,other,windows,ssd,gb,gb,11.6,gb
2032,lenovo,$,black,Excellent - Refurbished,intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2033,lenovo,$,gray,Undefined,nvidia,amd ryzen 9,3.3,GHz,notebook/laptop,windows,ssd,unknown,tb,14.5,gb
2034,other,$,gray,New,intel,intel celeron n,2.6,GHz,notebook/laptop,windows,ssd,gb,tb,14.1,gb
2035,dell,$,other,Good - Refurbished,other,intel core,,unknown,other,windows,unknown,unknown,unknown,13,unknown
2036,dell,$,multicolor,Good - Refurbished,intel,intel celeron,2.48,GHz,notebook/laptop,chrome,emmc,gb,gb,11.6,gb
2037,dell,$,black,Used,other,intel celeron,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,11,gb
2038,hp,$,silver,New,intel,intel core i5 11th generation,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2039,dell,$,black,Used,intel,intel i5,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14.1,gb
2040,lenovo,$,other,New,nvidia,intel core i7 12th generation,,unknown,notebook/laptop,windows,unknown,unknown,tb,15.6,unknown
2041,other,$,other,Used,other,intel core i5-6300u,2.4,GHz,other,unknown,unknown,unknown,gb,10.1,gb
2042,acer,$,silver,New,intel,intel celeron n4500,1.1,GHz,notebook/laptop,windows,ssd,tb,tb,15.6,gb
2043,hp,$,black,Used,intel,intel celeron n,2.16,GHz,notebook/laptop,chrome,emmc,gb,gb,11.6,gb
2044,hp,$,silver,Very Good - Refurbished,intel,intel core i5 6300u,2.4,GHz,notebook/laptop,unknown,ssd,unknown,gb,14,gb
2045,microsoft,$,platinum,Undefined,other,intel core i5 10th generation,1.1,GHz,notebook/laptop,windows,ssd,unknown,gb,12.3,gb
2046,dell,$,black,Used,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,unknown,unknown,unknown,unknown,14,gb
2047,dell,$,black,Used,intel,intel i5,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2048,acer,$,black,Excellent - Refurbished,other,intel celeron n,1.1,GHz,other,chrome,ssd,gb,gb,11.6,gb
2049,dell,$,black,Very Good - Refurbished,intel,intel core i5 8th generation,3.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2050,other,$,silver,Very Good - Refurbished,other,intel core i5 7th generation,2.6,GHz,other,unknown,ssd,unknown,gb,12,gb
2051,hp,$,black,Used,intel,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
2052,dell,$,gray,Used,intel,intel core 2 duo,2,GHz,notebook/laptop,windows,ssd,gb,gb,15.4,gb
2053,hp,$,black,Used,amd,amd a6-7310 apu,2,GHz,notebook/laptop,windows,hdd/ssd,tb,unknown,15,gb
2054,dell,$,other,Very Good - Refurbished,intel,intel xeon,3,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
2055,lenovo,$,black,Used,intel,intel core i7 5th generation,2.6,GHz,other,windows,ssd,gb,gb,14.5,gb
2056,other,$,multicolor,Used,intel,intel i7 2nd generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,tb,13.3,gb
2057,dell,$,black,New,other,amd a8-7410 4-core 2.50ghz,2.5,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2058,other,$,silver,New,intel,quad-core intel n100,3.4,GHz,notebook/laptop,windows,ssd,gb,gb,16,gb
2059,samsung,$,silver,Used,other,intel inside,1.1,GHz,other,chrome,unknown,gb,unknown,11,gb
2060,dell,$,black,Undefined,intel,intel core i5 8th generation,1.6,GHz,notebook/laptop,unknown,ssd,gb,gb,14,gb
2061,other,$,other,Used,other,rockchip rk 3288,,unknown,other,android,ssd,unknown,gb,15.4,unknown
2062,lenovo,$,other,Very Good - Refurbished,other,intel core i7 8th generation,1.8,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2063,acer,$,black,Used,intel,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
2064,hp,$,black,Used,other,intel celeron n,2.16,GHz,notebook/laptop,chrome,emmc,gb,gb,14,gb
2065,dell,$,black,Used,intel,intel core i5 4th generation 2.70ghz,2.7,GHz,notebook/laptop,windows,ssd,tb,tb,14,gb
2066,lenovo,$,black,Used,other,intel celeron,2,GHz,other,chrome,ssd,gb,gb,11.6,gb
2067,dell,$,black,Used,intel,i7-6600u,2.6,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5(,gb
2068,lenovo,$,other,New,amd,amd ryzen 7,2,GHz,notebook/laptop,windows,ssd,tb,tb,13,gb
2069,dell,$,other,Very Good - Refurbished,amd,intel core i7 8th generation,1.9,GHz,notebook/laptop,windows,ssd,unknown,tb,15.6,gb
2070,other,$,other,Used,other,intel core i-5,,unknown,notebook/laptop,chrome,ssd,unknown,gb,12.3,gb
2071,hp,$,other,Used,other,intel core i7-5600u,2.6,GHz,notebook/laptop,unknown,other,unknown,unknown,12.5,unknown
2072,hp,$,black,Used,intel,intel celeron n,2.16,GHz,notebook/laptop,windows,emmc,gb,gb,11.6,gb
2073,other,$,gray,Used,other,intel core i3 5th generation,2.1,GHz,other,chrome,emmc,unknown,unknown,13.3,gb
2074,hp,$,gray,Used,amd,amd a4 dual-core,1.6,GHz,other,chrome,ssd,unknown,gb,14,gb
2075,dell,$,black,Undefined,intel,intel core i7 8th generation,3.9,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2076,lenovo,$,black,Open box,amd,intel celeron,1.1,GHz,notebook/laptop,windows,ssd,gb,gb,11.5,gb
2077,hp,$,other,Used,other,intel core i7 6th generation,,unknown,notebook/laptop,unknown,ssd,gb,gb,15.6,gb
2078,dell,$,black,Used,other,intel core i7 6th generation,2.6,GHz,notebook/laptop,unknown,ssd,gb,gb,14,gb
2079,other,$,other,Used,other,amd e-series,,unknown,notebook/laptop,unknown,unknown,unknown,unknown,,unknown
2080,acer,$,black,Used,amd,amd a6-9220c,1.8,GHz,other,chrome,emmc,gb,gb,11.6,gb
2081,dell,$,other,Used,other,intel core i7 8th generation,1.9,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
2082,hp,$,other,Used,other,amd radeon r4,1.6,GHz,notebook/laptop,chrome,unknown,unknown,gb,14,unknown
2083,lenovo,$,black,Used,intel,intel core i5 1st generation,2.66,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,15.6,gb
2084,samsung,$,black,Used,intel,intel core i5 2nd generation,1.6,GHz,notebook/laptop,windows,ssd,gb,gb,11.6,gb
2085,lenovo,$,other,Used,intel,intel core i5 11th generation,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,gb
2086,asus,$,blue,Undefined,intel,intel core i3 12th generation,1.5,GHz,notebook/laptop,windows,ssd,gb,gb,17.3,gb
2087,hp,$,silver,Used,amd,intel core i7 7th generation,2.8,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2088,lenovo,$,black,Used,other,intel core i7 4th generation,2,GHz,other,windows,ssd,gb,gb,14,gb
2089,other,$,other,Open box,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
2090,dell,$,black,Used,intel,intel core i3 5th generation,2,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,15.6,gb
2091,lenovo,$,black,Used,intel,intel core i5 8th generation,@1.7,GHz,notebook/laptop,windows,ssd,tb,tb,14,gb
2092,lenovo,$,gray,Used,intel,intel core i7 10th generation,1.8,GHz,notebook/laptop,windows,ssd,tb,tb,14,gb
2093,dell,$,gray,Used,intel,intel core i5 9th generation,2.5,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2094,dell,$,black,Used,other,intel core i7,4.2,GHz,notebook/laptop,windows,ssd,tb,tb,14,gb
2095,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
2096,lenovo,$,gray,Undefined,intel,intel core i5 11th generation,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
2097,other,$,other,Used,other,qualcomm msm8909,,unknown,other,android,emmc,unknown,gb,7,unknown
2098,acer,$,black,Used,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,unknown,gb,11.6,gb
2099,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
2100,dell,$,black,Used,intel,intel core i7 8th generation,1.9,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,gb
2101,other,$,other,For parts or not working,other,core i5,2.3,GHz,notebook/laptop,unknown,unknown,unknown,unknown,13.3,gb
2102,lenovo,$,black,Used,other,intel celeron n,2.16,GHz,other,chrome,ssd,gb,gb,11.6,gb
2103,dell,$,black,Used,intel,intel core i5 8th generation,1.7,GHz,other,windows,other,unknown,gb,13.3,gb
2104,hp,$,silver,Undefined,intel,intel core i3 11th generation,2.9,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2105,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
2106,lenovo,$,black,Used,intel,intel celeron n,1.6,GHz,notebook/laptop,chrome,ssd,gb,gb,14,gb
2107,hp,$,other,Used,other,intel core i7 6th generation,,unknown,other,unknown,ssd,unknown,gb,,unknown
2108,acer,$,other,Used,other,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,gb,gb,12,gb
2109,dell,$,other,Used,other,intel core i7 4th generation,,unknown,notebook/laptop,windows,hdd/ssd,tb,unknown,15.6,gb
2110,dell,$,black,Used,intel,intel celeron,1.6,GHz,notebook/laptop,chrome,emmc,unknown,gb,11.6,gb
2111,other,$,other,Used,other,intel core,,unknown,notebook/laptop,windows,ssd,unknown,gb,14,gb
2112,dell,$,black,Used,intel,intel core i3 4th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,tb,13.3,gb
2113,dell,$,black,Undefined,intel,intel core i5 8th generation,3.6,GHz,notebook/laptop,windows,ssd,gb,gb,13.3,gb
2114,dell,$,other,Used,other,undefined,,unknown,other,unknown,unknown,gb,gb,,gb
2115,dell,$,other,Very Good - Refurbished,other,intel core i5 10th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2116,dell,$,gray,Used,intel,intel celeron n,1.1,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
2117,hp,$,silver,Undefined,intel,intel core i7 6th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2118,dell,$,black,Undefined,intel,intel core i7 13th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
2119,dell,$,black,Used,other,intel core i5 2nd generation,2.6,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
2120,lenovo,$,other,Excellent - Refurbished,other,intel core i7 7th generation,2.8,GHz,notebook/laptop,windows,ssd,gb,tb,14,gb
2121,other,$,black,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
2122,hp,$,other,Used,other,amd a4-5000,1.5,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
2123,other,$,silver,Used,other,pentium d,,unknown,notebook/laptop,windows,hdd/ssd,gb,unknown,15.5,unknown
2124,microsoft,$,multicolor,Excellent - Refurbished,other,intel core i5 11th generation,,unknown,notebook/laptop,unknown,ssd,gb,gb,13.5,gb
2125,dell,$,silver,Used,nvidia,intel core i7-7700hq cpu,2.8,GHz,notebook/laptop,windows,other,unknown,tb,15.6,gb
2126,dell,$,gray,Open box,other,amd a9,2.7,GHz,notebook/laptop,windows,ssd,unknown,gb,11.6,gb
2127,asus,$,white,Used,other,intel celeron,1.6,GHz,other,chrome,ssd,gb,gb,11.6,gb
2128,lenovo,$,black,Used,other,intel core i5 8th generation,1.6,GHz,notebook/laptop,unknown,ssd,gb,gb,12.5,gb
2129,dell,$,black,Used,other,intel core i5 5th generation,2.2,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
2130,dell,$,other,Used,other,intel core i5 2nd generation,,unknown,notebook/laptop,windows,ssd,gb,unknown,14,unknown
2131,dell,$,black,Used,intel,intel core i7 6th generation,2.6,GHz,other,windows,ssd,gb,gb,14,gb
2132,dell,$,other,Used,other,intel core i5-7200u,2.6,GHz,other,unknown,ssd,gb,gb,14,unknown
2133,dell,$,black,Undefined,intel,undefined,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
2134,microsoft,$,silver,Open box,other,intel core i5-l16g7,4.8,GHz,notebook/laptop,windows,ssd,gb,gb,13,gb
2135,asus,$,black,Used,intel,intel i3-5020u,2.2,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,15.6,gb
2136,acer,$,gray,Undefined,other,intel celeron,1,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6.,gb
2137,hp,$,black,Used,intel,intel core i7 3.40 ghz (max turbo speed: 3.80 ghz),3.4,GHz,other,windows,hdd/ssd,tb,tb,,gb
2138,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
2139,hp,$,black,Undefined,nvidia,intel core i7 7th generation,2.7,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
2140,hp,$,other,Very Good - Refurbished,intel,intel core i7 8th generation,4,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
