,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
69,dell,$,black,Used,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
70,lenovo,$,gray,Undefined,mali,mediatek mt8183,2,GHz,other,chrome,emmc,unknown,gb,10.1,unknown
71,other,$,silver,New,amd,intel celeron,2.8,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
72,hp,$,blue,Undefined,nvidia,intel core i5 13th generation,2.1,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
73,dell,$,gray,Used,intel,intel core i5 10th generation,1.7,GHz,notebook/laptop,unknown,ssd,gb,gb,14,gb
74,hp,$,other,Used,other,intel core i7 6th generation,,unknown,notebook/laptop,unknown,ssd,gb,gb,15.6,gb
75,lenovo,$,black,Used,intel,intel core i7 6th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14.1.,gb
76,other,$,silver,Used,other,intel core i5 6th generation,2.4,GHz,other,windows,ssd,unknown,unknown,12,gb
77,dell,$,black,Very Good - Refurbished,intel,intel core i5 6th gen,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
78,lenovo,$,gray,Used,intel,intel celeron,2.2,GHz,notebook/laptop,windows,ssd,unknown,gb,13,gb
79,other,$,other,Very Good - Refurbished,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
80,hp,$,other,Used,other,intel core i5-8265u,1.6,GHz,notebook/laptop,unknown,ssd,unknown,gb,15.6,gb
81,lenovo,$,other,Used,other,intel core i5 8th generation,1.7,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
82,asus,$,gray,Undefined,intel,intel core i3 11th generation,1.8,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
83,dell,$,gray,Used,other,intel core i5-10310u,1.7,GHz,other,unknown,ssd,unknown,gb,14,gb
84,hp,$,silver,Used,intel,intel core i7 4th generation,2.1,GHz,notebook/laptop,windows,ssd,gb,gb,11.6,gb
85,other,$,multicolor,Used,other,undefined,,unknown,notebook/laptop,linux,unknown,unknown,unknown,7.2,unknown
86,acer,$,gray,Used,intel,intel celeron n,2.48,GHz,notebook/laptop,chrome,emmc,gb,gb,11.6,gb
87,dell,$,black,Used,other,intel celeron,1.1,GHz,notebook/laptop,windows,ssd,unknown,gb,11.6,gb
88,hp,$,silver,Used,other,amd ryzen 3pro,,unknown,notebook/laptop,unknown,unknown,unknown,gb,14,gb
89,lenovo,$,gray,Undefined,intel,intel celeron n,1.1,GHz,notebook/laptop,windows,emmc,gb,gb,14,gb
90,other,$,other,For parts or not working,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
91,hp,$,gray,Used,other,intel celeron n,1.1,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
92,dell,$,other,Used,other,intel core i5 8th generation,,unknown,other,unknown,unknown,unknown,unknown,14.1,unknown
93,lenovo,$,other,Used,other,celeron n2930,,unknown,other,chrome,ssd,gb,gb,11.6,gb
94,dell,$,other,Excellent - Refurbished,intel,intel core i7 7th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,12.5,gb
95,dell,$,other,Excellent - Refurbished,other,intel core i7 8th generation,1.9,GHz,notebook/laptop,windows,ssd,gb,gb,13.3,gb
