,MEMORY_ID,HARD_DRIVE,HARD_DRIVE_CAPACITY_UNIT,SSD_CAPACITY,SSD_CAPACITY_UNIT
196,M196,256,unknown,240,gb
197,M197,256,unknown,240,unknown
198,M198,256,unknown,240,gb
199,M199,256,unknown,480,gb
200,M200,256,unknown,240,unknown
201,M201,256,unknown,256,gb
202,M202,256,unknown,240,unknown
203,M203,256,unknown,240,unknown
204,M204,256,unknown,240,unknown
205,M205,256,unknown,240,unknown
206,M206,256,unknown,240,unknown
207,M207,256,unknown,240,unknown
208,M208,256,unknown,240,unknown
209,M209,256,unknown,240,unknown
210,M210,256,unknown,240,unknown
211,M211,256,unknown,240,unknown
212,M212,256,unknown,240,unknown
213,M213,256,unknown,240,unknown
214,M214,256,unknown,240,unknown
215,M215,256,unknown,240,unknown
216,M216,256,unknown,240,unknown
217,M217,256,unknown,240,unknown
218,M218,256,unknown,240,unknown
219,M219,256,unknown,240,unknown
220,M220,256,unknown,240,unknown
221,M221,256,unknown,240,unknown
222,M222,256,unknown,240,unknown
223,M223,256,unknown,960,gb
224,M224,256,unknown,240,unknown
225,M225,256,unknown,240,unknown
226,M226,256,unknown,240,unknown
227,M227,256,unknown,240,unknown
228,M228,256,unknown,2,tb
229,M229,256,unknown,240,unknown
230,M230,256,unknown,240,gb
231,M231,256,unknown,240,unknown
232,M232,256,unknown,240,unknown
233,M233,256,unknown,240,unknown
234,M234,256,unknown,240,gb
235,M235,256,unknown,240,unknown
236,M236,256,unknown,240,unknown
237,M237,256,unknown,240,unknown
238,M238,256,unknown,240,unknown
239,M239,256,unknown,240,unknown
240,M240,256,unknown,240,unknown
241,M241,256,unknown,240,unknown
242,M242,256,unknown,240,unknown
243,M243,256,unknown,240,unknown
244,M244,256,unknown,240,gb
245,M245,256,unknown,240,unknown
246,M246,256,unknown,240,unknown
247,M247,256,unknown,240,unknown
248,M248,256,unknown,2,tb
249,M249,256,unknown,240,gb
250,M250,256,unknown,240,unknown
251,M251,256,unknown,960,gb
252,M252,256,unknown,240,unknown
253,M253,256,unknown,240,unknown
254,M254,256,unknown,240,unknown
255,M255,256,unknown,240,unknown
256,M256,256,unknown,240,gb
257,M257,256,unknown,480,gb
258,M258,256,unknown,240,gb
259,M259,256,unknown,240,unknown
