BRAND,COLOR,CONDITIONS,PRICE
dell,other,Seller refurbished,465.5
other,other,Seller refurbished,485.5
lenovo,black,Used,626.0
other,other,Seller refurbished,690.5
dell,black,Used,465.2
other,other,Used,1701.0
other,other,New,59.84
dell,other,Used,303.8
other,other,New,317.8
lg,other,New,92.56
other,other,Used,5.43
other,other,New,105.6
other,other,New,129.1
other,other,New,41.97
other,other,New,91.44
auo,other,New,92.06
auo,other,New,54.8
other,other,New,70.1
other,other,Undefined,93.44
acer,other,New,93.9
dell,black,Used,279.0
other,other,New,127.75
other,other,New,58.47
dell,black,Used,350.2
other,other,Used,449.8
samsung,other,New,95.56
auo,other,Undefined,94.0
microsoft,other,Used,1909.0
other,other,Used,9.77
other,other,Seller refurbished,745.5
dell,other,Used,429.2
other,other,New,149.8
other,other,Undefined,113.75
other,other,Used,1882.0
other,other,Used,41.75
other,other,For parts or not working,21.69
other,other,Used,419.0
other,other,Good - Refurbished,303.8
dell,other,Used,302.8
other,other,Used,366.8
dell,other,Used,414.8
other,other,Used,471.8
other,other,Used,348.5
dell,black,Used,477.8
other,other,New,300.8
other,other,Undefined,58.72
other,other,New,105.75
auo,other,New,65.25
other,other,Undefined,57.88
other,other,Used,9.77
other,other,Undefined,94.4
other,other,New,75.94
other,other,New,82.25
dell,other,Used,356.2
lenovo,black,Used,319.5
lg,other,Undefined,97.5
other,black,Undefined,75.94
other,other,Used,10.85
other,other,New,115.94
other,other,New,31.44
other,other,Used,351.5
lenovo,other,Used,434.2
lenovo,other,Used,434.5
other,other,New,44.97
hp,other,New,76.9
samsung,other,New,110.8
other,other,Seller refurbished,2724.0
auo,other,New,59.22
other,other,Seller refurbished,488.8
samsung,other,New,127.56
other,gray,Used,323.2
other,other,Used,125.0
other,silver,Used,530.0
dell,other,Used,430.5
other,other,New,70.3
lenovo,other,New,60.97
auo,other,New,66.3
dell,black,Used,942.5
other,other,New,267.0
other,other,For parts or not working,32.56
other,other,Used,272.2
lg,other,New,109.2
other,other,New,39.38
dell,other,Used,464.5
other,other,New,102.8
other,other,New,81.06
auo,other,New,70.5
lenovo,other,Undefined,91.9
other,other,New,21.8
other,other,New,63.28
other,other,Seller refurbished,715.0
lg,other,New,112.44
acer,other,Used,50.47
lg,other,New,137.4
other,black,Seller refurbished,375.8
other,other,Used,430.5
other,other,New,91.3
other,other,Used,510.8
samsung,other,Undefined,90.9
other,other,Seller refurbished,347.2
other,other,For parts or not working,22.06
other,other,Used,16.36
other,black,Seller refurbished,285.0
other,other,Used,423.2
other,other,Used,384.2
lenovo,other,Used,597.5
lenovo,other,Used,434.2
other,other,Used,236.5
other,other,New,48.28
other,other,New,242.2
other,other,Seller refurbished,954.5
other,other,New,196.9
other,other,Seller refurbished,2658.0
other,other,New,105.44
other,black,Seller refurbished,352.0
lenovo,black,Used,470.2
other,other,Used,636.5
other,other,New,124.3
other,other,Seller refurbished,827.5
other,black,Seller refurbished,278.8
other,other,New,92.06
other,other,New,95.0
other,other,Seller refurbished,1090.0
dell,black,Used,532.0
dell,other,Seller refurbished,283.0
other,other,New,116.25
dell,other,Used,293.2
acer,other,New,91.44
dell,other,Used,427.2
other,other,Used,10.85
other,other,Undefined,47.1
other,other,New,58.97
lg,other,New,91.9
other,black,Seller refurbished,329.2
other,other,New,103.06
samsung,other,New,70.5
other,other,New,106.94
auo,other,New,90.1
other,black,Seller refurbished,361.5
other,other,New,120.75
other,other,New,105.9
other,other,New,319.0
hp,other,Good - Refurbished,329.5
lenovo,other,New,729.5
other,other,New,78.25
other,other,New,130.8
other,other,Seller refurbished,2144.0
other,other,New,31.27
asus,other,Used,417.8
other,other,Used,360.8
dell,other,Used,377.8
other,other,Used,19.81
other,black,Used,684.0
other,other,Open box,294.5
dell,black,Used,326.2
other,other,New,87.7
lenovo,other,Used,462.8
dell,other,Used,554.5
other,other,New,128.0
other,other,Seller refurbished,1028.0
samsung,other,New,99.44
dell,black,Used,532.0
lenovo,black,Used,423.0
lenovo,other,Used,738.0
other,other,Used,8.68
dell,other,Used,303.8
other,other,Undefined,26.52
other,other,Seller refurbished,422.8
other,black,Used,441.2
dell,other,Used,433.0
other,other,New,120.5
other,other,Used,13.02
other,other,Used,351.2
other,black,Used,383.5
other,black,Undefined,413.8
dell,other,Seller refurbished,283.0
dell,other,Seller refurbished,270.2
samsung,other,New,50.03
other,other,Used,289.8
other,other,Used,475.5
lg,other,New,90.5
other,other,Undefined,70.6
samsung,other,New,70.56
dell,other,Used,387.0
other,black,Seller refurbished,368.0
other,other,Used,656.5
other,other,For parts or not working,27.48
other,other,New,67.2
other,other,Undefined,108.06
other,other,New,164.0
lenovo,black,Used,488.2
other,other,Used,42.3
other,other,New,27.58
auo,other,New,124.25
lenovo,other,Used,449.8
other,other,New,76.5
samsung,other,Undefined,109.9
dell,black,Used,382.5
other,other,New,74.9
dell,other,Used,416.2
hp,other,Undefined,116.5
dell,other,Seller refurbished,321.2
other,other,Undefined,96.56
lenovo,other,Used,456.0
other,other,New,274.0
other,other,Seller refurbished,683.0
other,other,Seller refurbished,647.5
lg,other,Undefined,97.3
lenovo,black,Used,550.0
other,other,New,134.9
samsung,other,New,196.5
other,other,Used,478.5
other,other,New,74.6
other,other,Used,10.85
