,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY,DISPLAY,WEBCAM(BUILT-IN)
2007,S2007,14.0,black,1366.0,768.0,NO,NO
2008,S2008,11.6,black,1366.0,768.0,NO,YES
2009,S2009,13.0,silver,1920.0,1080.0,YES,YES
2010,S2010,14.0,silver,1800.0,1200.0,NO,YES
2011,S2011,8.43,black,1920.0,1080.0,NO,NO
2012,S2012,10.1,silver,1920.0,1200.0,YES,YES
2013,S2013,12.0,gray,1920.0,1080.0,NO,YES
2014,S2014,14.0,black,1366.0,768.0,NO,NO
2015,S2015,15.6,blue,1920.0,1080.0,YES,NO
2016,S2016,11.6,black,1366.0,768.0,NO,YES
2017,S2017,11.6,black,1366.0,768.0,NO,YES
2018,S2018,14.0,black,1920.0,1080.0,NO,NO
2019,S2019,14.0,silver,1920.0,1080.0,NO,NO
2020,S2020,14.0,other,1366.0,768.0,NO,NO
2021,S2021,14.0,silver,1366.0,768.0,NO,YES
2022,S2022,14.0,black,1920.0,1080.0,NO,YES
2023,S2023,14.0,other,1920.0,1080.0,YES,YES
2024,S2024,15.6,other,1920.0,1080.0,NO,NO
2025,S2025,11.6,other,1920.0,1080.0,NO,NO
2026,S2026,17.0,gray,2560.0,1600.0,NO,NO
2027,S2027,10.1,brown,1024.0,600.0,NO,NO
2028,S2028,14.0,black,1920.0,1080.0,NO,YES
2029,S2029,14.0,black,1920.0,1200.0,YES,YES
2030,S2030,11.6,other,1920.0,1080.0,NO,YES
2031,S2031,14.0,black,1920.0,1080.0,NO,NO
2032,S2032,14.5,gray,3072.0,1920.0,NO,YES
2033,S2033,14.1,gray,1920.0,1080.0,NO,YES
2034,S2034,13.0,other,1920.0,1080.0,NO,YES
2035,S2035,11.6,multicolor,1366.0,768.0,NO,NO
2036,S2036,11.0,black,1920.0,1280.0,NO,YES
2037,S2037,15.6,silver,1920.0,1080.0,NO,YES
2038,S2038,14.1,black,1024.0,768.0,NO,YES
2039,S2039,15.6,other,1920.0,1080.0,NO,NO
2040,S2040,10.1,other,1920.0,1080.0,NO,NO
2041,S2041,15.6,silver,1920.0,1080.0,NO,NO
2042,S2042,11.6,black,1366.0,768.0,NO,YES
2043,S2043,14.0,silver,1920.0,1080.0,NO,YES
2044,S2044,12.3,platinum,2736.0,1824.0,NO,YES
2045,S2045,14.0,black,1920.0,1080.0,NO,YES
2046,S2046,14.0,black,1920.0,1080.0,NO,NO
2047,S2047,11.6,black,1920.0,1080.0,NO,YES
2048,S2048,14.0,black,1366.0,768.0,NO,NO
2049,S2049,12.0,silver,1920.0,1080.0,YES,YES
2050,S2050,11.6,black,1366.0,768.0,NO,NO
2051,S2051,15.4,gray,1028.0,800.0,NO,YES
2052,S2052,15.0,black,1366.0,768.0,NO,NO
2053,S2053,15.6,other,1920.0,1080.0,NO,YES
2054,S2054,14.5,black,1920.0,1080.0,NO,NO
2055,S2055,13.3,multicolor,1920.0,1080.0,NO,NO
2056,S2056,15.6,black,1366.0,768.0,YES,YES
2057,S2057,16.0,silver,1920.0,1200.0,NO,YES
2058,S2058,11.0,silver,1920.0,1080.0,NO,NO
2059,S2059,14.0,black,1366.0,768.0,NO,NO
2060,S2060,15.4,other,1920.0,1080.0,YES,YES
